return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,prec_idf_diff,ng_idf_hist,ng_idf_future,ng_idf_diff
2,62.682,-147.53268,26.116411855522085,31.669085278987435,5.55267342346535,50.641707889034194,44.29296026927455,-6.348747619759642
2,62.68213,-144.53275,35.94986384604689,41.129924889593724,5.180061043546836,38.58849100652569,41.71091747174872,3.122426465223029
2,62.68214,-148.16132,25.339157227436274,30.69526125087846,5.356104023442185,53.46471180182553,46.989663367496476,-6.475048434329054
2,62.68298,-146.42998,29.91924140705341,34.606946059515046,4.687704652461637,49.9376636132708,46.5037208625369,-3.433942750733898
2,62.68371,-146.98134,29.024285677195923,33.365813502323626,4.341527825127702,43.356275716020434,44.1421052986036,0.7858295825831689
2,62.68505,-145.00702,33.251413300272816,39.88694470369219,6.635531403419371,46.06358762475174,46.91608031147058,0.8524926867188398
2,62.68549,-145.95569,33.39557157328855,41.286422833224194,7.890851259935644,46.34442312076421,43.1416653924972,-3.2027577282670094
2,62.68616,-145.48135,36.33236149578594,40.06358439467274,3.7312228988867986,57.80637793097335,51.199089556344234,-6.607288374629114
2,62.68639,-148.23874,27.131361808567267,31.843123705733625,4.711761897166358,60.1374542530819,52.10885007436202,-8.028604178719881
2,62.68663,-147.61002,26.29597755020043,32.29588999261311,5.999912442412683,54.48781107518005,43.47230748887138,-11.015503586308668
2,62.68829,-146.5071,30.348086123874754,33.482505090912376,3.1344189670376217,51.74028984245052,49.75473025519293,-1.9855595872575904
2,62.6886,-144.60944,35.01114418569627,39.83687964882376,4.825735463127494,38.23379497258744,41.83983065453808,3.606035681950644
2,62.68867,-147.05856,28.042711861720964,33.47499290088241,5.432281039161449,43.494291164516625,43.486597997325646,-0.007693167190979011
2,62.69057,-148.31619,30.290988445276,36.43945843093244,6.14846998565644,61.16058365028698,56.010810927067645,-5.1497727232193355
2,62.69109,-146.03271,33.045369978151776,40.15516419250929,7.109794214357514,50.84674063419038,44.24234462209013,-6.604396012100253
2,62.6912,-147.68735,26.934445802889538,31.27477789073683,4.34033208784729,51.34105358967697,42.368425540828845,-8.972628048848122
2,62.69123,-145.08382,33.512199971744195,39.67063662701989,6.158436655275693,47.085204671116614,46.17960183024343,-0.9056028408731862
2,62.69205,-145.55827,37.31859896060848,41.002042400255675,3.683443439647192,58.0927071092675,51.75816017860131,-6.334546930666193
2,62.69355,-146.58424,31.648708545221094,33.107215073403744,1.4585065281826495,50.7114350855301,51.88577642484765,1.1743413393175501
