lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,35.35,45.69
65.38499,-147.1732,54.52,58.37
64.03572,-147.23177,38.02,41.97
63.0264,-145.18753,42.84,49.02
63.36603,-147.69194,40.29,46.11
64.86224,-146.10659,48.64,59.34
62.77942,-147.73412,46.83,57.95
64.43882,-147.89695,53.31,59.24
65.22958,-145.70516,39.05,44.52
62.96174,-148.63803,35.56,45.21
62.81455,-146.82605,44.4,49.24
63.09599,-148.78702,52.51,56.93
63.85189,-144.81025,40.24,46.78
64.51035,-147.78857,43.16,50.99
64.1257,-146.1165,46.51,58.71
64.12763,-147.86259,37.1,43.26
62.82426,-145.3255,48.94,57.57
64.65373,-148.05261,54.91,60.77
64.39338,-145.95556,47.11,48.49
65.03083,-144.94144,38.74,46.28
63.10026,-147.95944,46.34,53.29
64.36772,-146.69777,49.97,57.61
63.63464,-147.58945,37.67,43.58
65.41934,-148.52916,44.87,56.26
63.27725,-146.43685,48.77,55.48
63.32261,-144.8107,56.9,66.83
63.84605,-145.21706,39.58,49.05
65.26479,-146.11841,47.31,48.94
65.5222,-147.999,45.73,52.95
65.49771,-145.08161,39.85,42.87
63.571,-147.84773,48.88,56.26
62.92935,-147.90014,44.55,55.2
65.33979,-145.86618,46.75,51.21
63.21905,-144.9681,42.34,53.36
64.09531,-147.72012,48.98,55.54
63.15439,-145.0182,58.66,69.71
63.15123,-147.06461,46.15,52.69
63.16763,-144.7419,37.26,38.92
64.85641,-147.20119,50.17,49.18
65.11176,-145.96641,45.17,52.98
64.54725,-148.46915,48.64,55.4
64.05384,-144.96899,45.39,53.59
64.8469,-146.97055,46.05,51.19
64.88207,-146.68632,33.43,36.97
65.03259,-147.07863,58.97,66.27
65.19642,-145.32092,50.84,55.48
63.94181,-145.04749,49.58,47.49
64.14253,-145.6727,40.12,48.61
62.87603,-146.86522,45.32,51.4
64.26459,-146.54912,36.5,43.09
65.02275,-147.30579,50.02,58.78
63.35886,-145.01787,45.84,47.02
63.69116,-147.39067,47.71,43.99
63.18881,-144.81498,57.63,64.27
64.79977,-147.5982,54.66,57.08
63.81736,-146.19588,55.86,62.44
65.22892,-148.05909,36.63,47.27
63.4951,-144.69865,41.7,51.51
65.13546,-146.84551,45.5,52.07
63.43506,-146.79465,44.36,49.16
62.85083,-148.27087,51.25,59.26
65.54438,-146.68147,58.71,65.6
64.7121,-145.08501,58.2,60.36
65.39842,-145.51703,39.34,51.91
64.66659,-147.78307,33.97,46.58
63.36144,-146.20902,46.74,51.29
62.90129,-144.93266,52.49,61.31
63.09261,-145.84217,43.33,49.93
64.83039,-147.52371,40.86,48.2
65.42653,-148.54051,57.57,62.54
63.09402,-148.15842,51.87,56.83
63.71568,-146.93605,34.59,44.06
63.43349,-144.6624,61.18,63.63
63.15005,-147.75352,48.19,51.87
63.40411,-147.30587,41.93,46.78
65.54904,-145.39805,49.25,59.45
64.62543,-144.63476,44.9,50.68
64.07175,-146.39126,36.03,42.5
63.29124,-147.77026,55.07,61.49
