lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,48.0,60.78
65.38499,-147.1732,71.42,78.06
64.03572,-147.23177,49.97,56.81
63.0264,-145.18753,57.13,65.6
63.36603,-147.69194,54.26,62.19
64.86224,-146.10659,64.43,78.2
62.77942,-147.73412,62.87,77.77
64.43882,-147.89695,70.56,78.21
65.22958,-145.70516,51.99,59.83
62.96174,-148.63803,48.31,60.73
62.81455,-146.82605,58.81,65.12
63.09599,-148.78702,69.03,75.97
63.85189,-144.81025,53.63,62.87
64.51035,-147.78857,57.66,68.51
64.1257,-146.1165,62.37,77.79
64.12763,-147.86259,50.09,58.34
62.82426,-145.3255,64.87,76.45
64.65373,-148.05261,72.6,80.18
64.39338,-145.95556,62.07,64.21
65.03083,-144.94144,51.78,61.7
63.10026,-147.95944,61.57,71.71
64.36772,-146.69777,65.8,76.18
63.63464,-147.58945,50.93,58.78
65.41934,-148.52916,60.57,74.63
63.27725,-146.43685,64.61,73.92
63.32261,-144.8107,75.42,87.84
63.84605,-145.21706,52.41,64.52
65.26479,-146.11841,62.99,65.22
65.5222,-147.999,61.25,71.24
65.49771,-145.08161,53.07,58.13
63.571,-147.84773,64.49,74.63
62.92935,-147.90014,60.2,72.53
65.33979,-145.86618,62.4,69.06
63.21905,-144.9681,56.52,69.92
64.09531,-147.72012,64.72,73.69
63.15439,-145.0182,77.51,91.87
63.15123,-147.06461,61.98,69.45
63.16763,-144.7419,49.43,52.5
64.85641,-147.20119,66.75,67.06
65.11176,-145.96641,60.61,69.78
64.54725,-148.46915,64.36,74.0
64.05384,-144.96899,60.52,71.57
64.8469,-146.97055,61.98,67.69
64.88207,-146.68632,44.58,49.9
65.03259,-147.07863,77.62,87.93
65.19642,-145.32092,67.15,73.74
63.94181,-145.04749,66.3,64.18
64.14253,-145.6727,53.84,64.84
62.87603,-146.86522,60.49,68.46
64.26459,-146.54912,48.97,57.93
65.02275,-147.30579,66.13,78.04
63.35886,-145.01787,61.48,63.34
63.69116,-147.39067,64.11,60.08
63.18881,-144.81498,75.86,84.77
64.79977,-147.5982,71.94,76.01
63.81736,-146.19588,73.82,83.17
65.22892,-148.05909,49.22,62.77
63.4951,-144.69865,55.69,68.98
