cell,lat,lon,mean_ALD_hist,mean_ALD_future,ALD_diff,ALD_pct_diff
63.05042_-148.30269,63.05042,-148.30269,0.43320471684601247,0.615168236864872,0.18196352001885951,42.00404865017675
63.05096_-147.66513,63.05096,-147.66513,0.5218770645448604,0.7321699418950945,0.21029287735023416,40.295481759412986
63.05119_-145.50656,63.05119,-145.50656,0.5623537770700668,0.7609882888207387,0.19863451175067182,35.32198410502057
63.05304_-146.54672,63.05304,-146.54672,0.5392376879113274,0.7185595783106626,0.17932189039933522,33.254702781238656
63.05324_-147.10596,63.05324,-147.10596,0.4451404661593361,0.6132332625156446,0.16809279635630847,37.76174244651583
63.58633_-144.89529,63.58633,-144.89529,0.9149113971435907,1.2464845368945654,0.3315731397509747,36.241010964139946
63.58750_-145.87759,63.5875,-145.87759,1.4841866629172387,2.45722451667674,0.9730378537595015,65.56034210999779
63.58785_-145.38641,63.58785,-145.38641,0.6471309186448294,0.8702635820946685,0.22313266344983906,34.480297111611655
63.58908_-148.24164,63.58908,-148.24164,0.6302753392294127,0.8841716427076933,0.2538963034782806,40.28339483957906
63.58930_-147.59059,63.5893,-147.59059,0.01667158987480695,0.3481472765741238,0.3314756866993169,1988.266801117882
63.59063_-146.44855,63.59063,-146.44855,0.0,0.2422303160514224,0.2422303160514224,inf
63.59122_-147.01958,63.59122,-147.01958,0.0,0.018193832142684493,0.018193832142684493,inf
63.59261_-144.97479,63.59261,-144.97479,0.7169430076643968,0.9282536502076517,0.21131064254325493,29.47384105629915
63.59316_-145.95734,63.59316,-145.95734,1.1496955646234759,1.8358145050680341,0.6861189404445582,59.67831498673838
63.59329_-148.32184,63.59329,-148.32184,0.5125456161489326,0.7074905487233503,0.1949449325744177,38.034650269600924
63.49921_-147.29216,63.49921,-147.29216,0.09633716372117976,0.3627175496089041,0.2663803858877244,276.50843724098615
63.49931_-145.66476,63.49931,-145.66476,0.0,0.29287042091762094,0.29287042091762094,inf
63.49981_-146.72316,63.49981,-146.72316,0.0,0.2578997487459098,0.2578997487459098,inf
63.50052_-147.94092,63.50052,-147.94092,0.30380363205107663,0.5009469598836679,0.19714332783259125,64.89169550133843
63.50251_-148.66963,63.50251,-148.66963,0.3381346364149238,0.5218449405272135,0.18371030411228972,54.330519363552995
63.50296_-144.76506,63.50296,-144.76506,0.6876577020782713,0.9588536031927284,0.2711959011144571,39.43763013121735
63.50340_-146.23372,63.5034,-146.23372,0.15544258984634365,0.3956939681764508,0.24025137833010715,154.55955704778063
63.50400_-147.37192,63.504,-147.37192,0.18835643315700634,0.44313766555390205,0.2547812323968957,135.26547945645174
63.50490_-148.02080,63.5049,-148.0208,0.34722323336334915,0.5397891928059664,0.19256595944261723,55.4588348185526
63.50496_-146.80281,63.50496,-146.80281,0.10356586407835514,0.37624259689179324,0.27267673281343807,263.2882323147888
63.56721_-144.65700,63.56721,-144.657,0.5520449754334656,0.7314938306953849,0.17944885526191923,32.506202075476914
63.56733_-147.84102,63.56733,-147.84102,0.3597726809771663,0.574873094542154,0.21510041356498766,59.787867433614124
63.56887_-146.12938,63.56887,-146.12938,0.5041490651990196,0.6801124359318593,0.17596337073283974,34.90304413504681
63.56963_-145.14777,63.56963,-145.14777,0.2176216837278975,0.38345788097550304,0.16583619724760554,76.20389402691978
63.56991_-148.57164,63.56991,-148.57164,0.5187296923463467,0.7008369709736754,0.18210727862732867,35.106391886612656
63.57019_-145.63858,63.57019,-145.63858,0.36739093091185776,0.5587405036121145,0.1913495727002567,52.0833685865164
63.57037_-147.27051,63.57037,-147.27051,0.0,0.16019537051467486,0.16019537051467486,inf
63.57088_-146.69992,63.57088,-146.69992,0.0,0.0,0.0,
63.57178_-147.92108,63.57178,-147.92108,0.509230289807359,0.7316994624892362,0.22246917268187727,43.687340901507845
63.57363_-144.73639,63.57363,-144.73639,0.6426211929530877,0.84263302489041,0.2000118319373223,31.124375313268487
63.82388_-148.58876,63.82388,-148.58876,0.5178027558307974,0.7158483923807633,0.19804563654996588,38.24731218979478
63.82421_-145.62619,63.82421,-145.62619,1.038464045663996,1.430255349581166,0.3917913039171701,37.72796040007894
63.82447_-147.27454,63.82447,-147.27454,0.6217464357494107,0.8228669542933815,0.20112051854397084,32.347675351215145
63.82498_-146.69821,63.82498,-146.69821,0.41893370960422466,0.5873496813777388,0.16841597177351414,40.20110292213539
63.82582_-147.93167,63.82582,-147.93167,0.6020300335603395,0.81018115051925,0.20815111695891053,34.57487257370329
63.82756_-144.71494,63.82756,-144.71494,1.3603951617620413,2.0611663777923956,0.7007712160303543,51.51232786822659
63.82787_-148.66977,63.82787,-148.66977,0.6146114367582807,0.8653155475874279,0.25070411082914723,40.7906680278301
63.82846_-146.20247,63.82846,-146.20247,0.7928192687024138,1.0477850904495,0.25496582174708626,32.15938761987736
63.82928_-147.35532,63.82928,-147.35532,0.7523784350076232,1.0293041835939323,0.27692574858630903,36.80670998810634
63.82977_-145.21075,63.82977,-145.21075,1.4175567736932433,2.0057497073283113,0.588192933635068,41.49343042554935
63.92649_-146.58179,63.92649,-146.58179,0.8380113292607446,1.102221051520143,0.2642097222593983,31.52818023265534
63.92704_-148.48001,63.92704,-148.48001,0.6031593338022978,0.8325998342940228,0.22944050049172504,38.039782795922136
63.92721_-144.59058,63.92721,-144.59058,1.0215070854981443,1.450673881938703,0.4291667964405588,42.01310030378036
63.92842_-147.82022,63.92842,-147.82022,0.8576481540108125,1.2729960564220657,0.4153479024112532,48.42870592898365
63.92953_-146.08405,63.92953,-146.08405,0.9923362302092223,1.3830108187772576,0.3906745885680353,39.36917515202143
63.92989_-145.08835,63.92989,-145.08835,1.2418372102649762,1.8075178877020464,0.5656806774370702,45.55191878300767
63.93066_-145.58620,63.93066,-145.5862,1.3142834197168938,1.9882806330452207,0.673997213328327,51.28248619871587
63.93109_-148.56134,63.93109,-148.56134,0.7334919319959421,1.0565864620545091,0.32309453005856703,44.04881853020225
