return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,ng_idf_hist,ng_idf_future
2,62.682,-147.53268,12.5253,15.1883,24.2874,21.2426
2,62.68213,-144.53275,15.5535,17.7947,16.6951,18.046
2,62.68214,-148.16132,12.8185,15.528,27.0465,23.771
2,62.68298,-146.42998,14.0131,16.2087,23.3891,21.7807
2,62.68371,-146.98134,13.7648,15.8238,20.5618,20.9345
2,62.68505,-145.00702,15.6214,18.7388,21.6406,22.0411
2,62.68549,-145.95569,15.7762,19.5039,21.8933,20.3803
2,62.68616,-145.48135,18.625,20.5377,29.6331,26.2461
2,62.68639,-148.23874,13.5987,15.9603,30.1418,26.1178
2,62.68663,-147.61002,13.4485,16.517,27.8665,22.2329
2,62.68829,-146.5071,13.9925,15.4377,23.8557,22.9403
2,62.6886,-144.60944,14.251,16.2153,15.5628,17.0306
2,62.68867,-147.05856,13.669,16.3169,21.2006,21.1968
2,62.69057,-148.31619,13.1846,15.8608,26.6211,24.3796
2,62.69109,-146.03271,15.0813,18.3261,23.2056,20.1914
2,62.6912,-147.68735,12.5185,14.5358,23.8622,19.6919
2,62.69123,-145.08382,15.6359,18.5093,21.9687,21.5462
2,62.69205,-145.55827,18.0822,19.867,28.148,25.0787
2,62.69355,-146.58424,13.9466,14.5893,22.347,22.8645
2,62.69359,-147.13583,13.1915,15.6344,20.6441,19.3515
2,62.69471,-148.39368,14.7426,17.6551,29.1024,25.4556
2,62.69503,-144.68616,17.9737,21.0018,20.7396,23.1249
2,62.69574,-147.76474,11.5924,13.3024,21.1702,18.4406
2,62.69664,-146.10977,15.3011,18.1654,23.3003,21.2268
2,62.69737,-145.16068,16.1359,18.6903,23.0919,22.005
2,62.6979,-145.63524,17.727,20.2615,24.5418,24.5745
2,62.69847,-147.2131,12.1815,14.7683,19.6999,18.7773
2,62.69876,-146.66142,16.5593,17.1729,26.6555,27.5283
2,62.6988,-148.47116,15.8623,18.6247,26.1357,23.3666
2,62.70022,-147.84213,12.3044,14.0018,22.2893,18.0478
2,62.70142,-144.76294,14.0263,16.4248,16.8551,18.403
2,62.70214,-146.18686,15.6659,17.7511,24.1953,21.6377
2,62.70285,-148.54871,15.5722,17.6061,19.6952,20.8604
2,62.70329,-147.29042,14.306,16.9796,24.5906,23.3002
2,62.70346,-145.23756,15.3772,17.6615,21.8839,20.4831
2,62.7037,-145.71223,19.5228,22.996,26.3948,26.5007
2,62.70393,-146.73865,16.847,18.1167,27.3279,27.8152
2,62.70466,-147.91956,13.0313,14.3541,21.7593,20.351
2,62.70684,-148.62625,15.4317,16.3104,19.407,19.4637
2,62.70761,-146.26399,17.2586,19.0747,26.5067,22.5912
2,62.70774,-144.83974,16.0683,18.8531,20.5954,21.9282
2,62.70807,-147.36777,13.5178,16.0456,24.2551,22.2698
2,62.70904,-146.81587,15.8433,16.6629,25.6814,24.5047
2,62.70904,-147.99701,11.0327,12.6722,18.9965,17.3471
2,62.70945,-145.78925,18.2894,21.0975,24.7507,23.1368
2,62.70951,-145.31448,15.8545,17.6614,22.5842,20.4722
2,62.71079,-148.70383,16.9813,16.8014,22.3143,20.8918
2,62.7128,-147.44513,13.8944,16.5167,23.7755,23.5596
2,62.71301,-146.34116,14.2873,16.0989,20.7941,17.5151
2,62.71338,-148.07449,11.7227,13.9353,23.163,19.9277
2,62.71404,-144.91656,15.2994,18.2332,21.7107,21.2554
2,62.71412,-146.89314,15.0446,15.647,23.1876,20.6759
2,62.7147,-148.78142,16.7727,16.2526,18.8581,19.4363
2,62.71516,-145.86632,19.3142,21.6725,27.2213,23.7791
2,62.7155,-145.39145,16.8464,18.2765,26.2383,22.4236
2,62.71731,-144.51855,18.8383,21.605,20.4271,22.5164
