lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,53.58,69.25
65.38499,-147.1732,82.64,88.47
64.03572,-147.23177,57.63,63.61
63.0264,-145.18753,64.93,74.3
63.36603,-147.69194,61.07,69.89
64.86224,-146.10659,73.72,89.94
62.77942,-147.73412,70.98,87.84
64.43882,-147.89695,80.8,89.79
65.22958,-145.70516,59.19,67.48
62.96174,-148.63803,53.9,68.53
62.81455,-146.82605,67.3,74.63
63.09599,-148.78702,79.59,86.29
63.85189,-144.81025,60.99,70.91
64.51035,-147.78857,65.42,77.29
64.1257,-146.1165,70.5,88.99
64.12763,-147.86259,56.23,65.57
62.82426,-145.3255,74.18,87.26
64.65373,-148.05261,83.23,92.11
64.39338,-145.95556,71.41,73.5
65.03083,-144.94144,58.72,70.15
63.10026,-147.95944,70.24,80.77
64.36772,-146.69777,75.74,87.32
63.63464,-147.58945,57.1,66.05
65.41934,-148.52916,68.01,85.27
63.27725,-146.43685,73.92,84.09
63.32261,-144.8107,86.24,101.3
63.84605,-145.21706,59.99,74.35
65.26479,-146.11841,71.71,74.18
65.5222,-147.999,69.31,80.26
65.49771,-145.08161,60.4,64.98
63.571,-147.84773,74.09,85.27
62.92935,-147.90014,67.53,83.67
65.33979,-145.86618,70.86,77.62
63.21905,-144.9681,64.18,80.88
64.09531,-147.72012,74.24,84.18
63.15439,-145.0182,88.91,105.66
63.15123,-147.06461,69.95,79.86
63.16763,-144.7419,56.48,58.99
64.85641,-147.20119,76.04,74.54
65.11176,-145.96641,68.46,80.3
64.54725,-148.46915,73.72,83.97
64.05384,-144.96899,68.8,81.23
64.8469,-146.97055,69.8,77.59
64.88207,-146.68632,50.67,56.04
65.03259,-147.07863,89.38,100.45
65.19642,-145.32092,77.06,84.09
63.94181,-145.04749,75.15,71.98
64.14253,-145.6727,60.81,73.68
62.87603,-146.86522,68.69,77.91
64.26459,-146.54912,55.32,65.31
65.02275,-147.30579,75.82,89.09
63.35886,-145.01787,69.48,71.27
63.69116,-147.39067,72.31,66.68
63.18881,-144.81498,87.35,97.42
64.79977,-147.5982,82.85,86.52
63.81736,-146.19588,84.67,94.64
65.22892,-148.05909,55.52,71.65
63.4951,-144.69865,63.21,78.07
65.13546,-146.84551,68.97,78.92
63.43506,-146.79465,67.24,74.51
62.85083,-148.27087,77.68,89.82
65.54438,-146.68147,88.99,99.43
64.7121,-145.08501,88.21,91.49
65.39842,-145.51703,59.63,78.68
64.66659,-147.78307,51.49,70.6
63.36144,-146.20902,70.84,77.74
62.90129,-144.93266,79.56,92.93
63.09261,-145.84217,65.68,75.68
64.83039,-147.52371,61.93,73.06
65.42653,-148.54051,87.26,94.79
63.09402,-148.15842,78.62,86.14
63.71568,-146.93605,52.43,66.78
63.43349,-144.6624,92.73,96.45
63.15005,-147.75352,73.04,78.62
63.40411,-147.30587,63.55,70.91
65.54904,-145.39805,74.65,90.11
64.62543,-144.63476,68.06,76.82
64.07175,-146.39126,54.61,64.42
63.29124,-147.77026,83.47,93.2
63.58393,-146.14846,77.88,85.47
63.5742,-148.55511,99.6,103.75
63.93519,-145.5708,65.78,77.26
64.77946,-147.78469,75.06,79.92
64.99489,-147.143,70.3,78.24
64.14543,-148.67452,59.11,62.96
63.76363,-146.16719,75.26,84.61
65.48577,-145.88724,83.03,93.81
63.4918,-145.58508,68.77,76.15
64.267,-144.77289,77.83,86.67
63.44693,-145.52411,73.82,88.59
62.96356,-145.71376,105.96,112.71
65.03814,-145.30932,73.86,81.58
64.43875,-145.78439,53.25,58.51
64.46335,-148.58202,70.77,74.54
63.69502,-146.1179,74.21,83.65
64.78172,-146.1808,86.29,97.37
62.92032,-144.59859,74.88,88.32
62.81965,-148.41019,73.85,80.77
64.61687,-146.41813,51.08,56.93
64.50374,-148.40287,81.09,85.02
63.22467,-144.68138,107.83,118.44
62.85312,-145.81426,72.21,70.13
65.13705,-146.9932,64.24,75.63
62.81892,-145.67837,86.2,97.58
63.90706,-146.2054,58.46,66.02
64.82636,-145.03279,76.89,88.38
64.05614,-146.48617,76.91,81.76
65.17523,-148.3678,75.47,70.54
64.72219,-148.32591,106.51,116.41
64.45605,-144.70579,85.97,88.53
65.36378,-147.48325,60.04,78.51
63.49631,-145.98139,62.43,79.54
63.60255,-145.66741,79.5,92.14
63.20672,-145.42796,78.04,85.53
62.76462,-147.71332,79.36,89.96
64.97459,-145.00462,110.0,114.79
63.20675,-144.74822,90.17,91.43
64.39806,-146.43409,60.14,81.86
65.03432,-147.90589,62.72,79.07
65.58441,-146.44838,82.03,92.55
62.79417,-146.57128,75.88,85.49
64.36398,-146.40874,73.42,81.39
62.90565,-145.36569,59.28,70.63
64.95915,-145.578,80.48,90.73
65.27157,-145.93519,106.1,109.97
63.92199,-147.49014,59.49,74.72
65.33277,-148.31901,94.43,95.57
63.97699,-144.56439,75.5,82.2
63.41735,-145.25568,69.13,74.01
64.48036,-148.0072,77.26,87.5
63.57528,-147.76051,63.77,71.54
65.03034,-145.53697,55.28,68.62
63.04893,-146.14658,99.45,105.93
64.86733,-147.65184,82.3,90.02
63.15255,-144.72207,103.72,101.07
65.37189,-145.50255,67.33,73.01
65.08598,-146.91672,78.94,81.08
64.88755,-145.73748,66.66,74.25
63.60574,-146.47917,54.87,65.46
63.96554,-148.28586,77.2,84.82
65.19934,-148.42995,102.64,111.04
62.7166,-145.96953,63.87,75.35
64.99452,-146.29943,83.21,93.17
65.05674,-146.29458,76.07,85.93
63.68064,-148.47729,113.27,113.57
65.08628,-147.18346,81.61,85.18
63.39047,-146.36394,52.22,60.02
64.982,-145.0151,67.48,74.53
63.24552,-147.24309,75.51,88.81
63.04081,-147.4836,110.24,113.15
64.36496,-148.74455,73.42,85.65
62.69634,-148.11981,86.27,99.22
63.43177,-148.11244,83.21,92.11
63.23189,-145.59825,47.11,58.69
63.87162,-147.88731,114.75,121.18
63.49226,-144.78598,73.03,73.75
64.91,-148.54228,105.1,109.37
63.81665,-146.86999,66.42,76.04
63.72201,-147.31824,54.49,64.74
64.20047,-147.04636,77.1,87.05
63.77403,-145.37242,84.7,104.37
64.15639,-146.2302,114.21,125.26
63.59441,-145.24306,81.64,77.62
65.23972,-147.22089,85.56,93.46
63.91094,-146.304,57.84,79.86
65.11881,-145.66455,63.01,69.24
63.63243,-148.57069,93.47,100.99
63.22936,-144.77802,82.7,92.91
65.3545,-147.51798,78.2,87.05
63.25689,-145.76876,113.13,119.94
63.46552,-146.9068,88.49,92.38
64.38889,-147.63143,60.93,69.75
65.06573,-144.56259,58.86,78.53
65.5031,-147.99384,85.24,90.12
63.38303,-146.35364,81.55,89.76
64.85075,-148.08655,81.18,89.78
64.4345,-147.31759,79.51,89.25
64.02029,-144.55356,107.42,119.53
64.78262,-147.01933,54.73,65.27
63.62831,-148.11839,60.7,78.97
64.45769,-148.30892,92.44,94.81
63.74207,-147.39385,81.99,91.08
64.72055,-146.83185,67.22,76.77
64.01168,-144.70352,81.08,85.62
64.88791,-145.61886,56.76,66.33
64.66791,-147.32873,56.25,76.42
63.64222,-148.60873,103.13,113.95
64.75344,-147.50451,83.56,92.37
62.74557,-147.20815,99.64,101.51
64.69822,-148.33762,62.67,70.94
62.82724,-146.16346,85.46,91.2
64.09013,-146.32366,62.37,73.94
64.7317,-146.56141,55.85,69.28
63.14881,-146.30579,79.5,85.88
64.55161,-146.39495,107.48,115.12
63.39798,-146.74271,85.96,100.92
65.32247,-147.71364,65.69,77.83
63.16177,-146.91869,106.78,104.61
63.30122,-147.80774,69.54,77.97
64.43848,-145.24345,81.2,90.11
63.34974,-145.27878,53.38,63.63
65.29243,-145.89335,78.07,84.62
65.08403,-144.85002,68.5,77.17
63.22773,-145.91159,107.57,115.66
63.97065,-147.86767,72.18,79.24
63.81825,-147.5274,83.62,95.16
63.58282,-146.07774,90.09,103.46
64.53318,-144.60135,109.71,111.34
64.43999,-148.11424,51.35,65.31
63.283,-148.61833,78.09,75.35
64.1508,-144.86957,101.6,106.62
63.05162,-145.46967,65.55,74.57
63.92544,-147.33064,78.54,86.3
62.7213,-146.78889,50.75,61.75
65.49795,-146.58699,84.58,99.13
64.42883,-145.62919,109.89,116.53
62.93901,-146.13356,90.34,102.87
65.14075,-147.70351,90.87,81.02
64.89554,-147.28383,59.58,71.25
65.26568,-148.26338,54.25,61.2
64.56768,-144.74267,90.99,98.17
63.74928,-146.7044,87.26,103.64
63.26236,-146.41629,80.2,88.71
64.56813,-147.46775,109.63,113.92
63.58052,-145.93632,89.82,99.07
64.13503,-147.54183,53.87,59.36
64.7218,-145.59551,55.25,70.41
64.16128,-144.90712,83.56,90.17
63.831,-144.85106,87.11,94.87
65.09462,-147.60877,72.77,89.96
65.3863,-145.64428,81.73,88.53
63.37943,-148.36278,105.54,117.79
63.74056,-146.99477,53.9,58.25
65.26034,-148.13233,56.1,70.04
63.93682,-147.25316,90.56,99.58
63.62708,-146.6249,89.61,95.54
65.08441,-146.57625,56.37,74.3
63.86049,-148.79259,79.77,86.62
64.93927,-147.34947,59.11,61.93
63.62446,-148.34737,57.61,69.34
63.73935,-147.10966,103.34,116.7
65.45483,-144.85112,84.4,88.79
65.59045,-148.35388,91.88,99.98
63.92805,-147.09971,57.61,70.18
64.49997,-147.67729,87.08,96.43
63.36383,-146.05181,67.45,72.06
64.93662,-147.99946,58.45,73.69
64.04968,-147.4406,79.04,85.9
62.78854,-148.61857,103.64,114.06
65.18189,-148.23111,88.96,97.73
63.03753,-147.38715,92.58,97.38
63.23546,-144.83133,71.97,75.59
62.70143,-146.9656,62.25,70.86
63.02176,-145.31683,84.02,92.29
62.75509,-147.74561,61.2,76.39
64.98787,-146.16974,80.01,85.29
64.09209,-148.57021,104.19,108.78
62.74429,-147.95893,75.04,75.97
63.22384,-147.02842,66.52,74.83
65.58518,-145.6938,96.31,105.24
64.01999,-148.74741,83.83,101.01
64.69679,-146.46277,96.05,99.51
64.17661,-147.98271,61.63,76.54
63.89952,-147.71622,82.06,78.83
63.39891,-146.44462,96.93,106.81
63.67647,-148.77748,61.42,72.19
63.58907,-146.68729,82.23,88.79
65.08794,-148.08575,60.14,71.31
64.62424,-148.49031,85.87,111.25
64.16938,-148.59132,100.45,103.81
65.23264,-146.04699,100.04,106.54
65.26096,-145.5823,90.32,81.48
65.16251,-144.93741,56.88,70.77
64.99731,-145.70453,56.57,61.48
65.4744,-145.77344,85.26,99.49
63.35038,-148.39036,73.07,103.02
63.8187,-146.63971,83.88,90.75
65.18042,-148.49856,104.14,105.4
62.96446,-146.91905,95.72,100.83
65.59137,-147.31747,53.78,67.51
65.48593,-147.25385,54.49,60.63
64.16676,-144.61301,84.65,92.29
64.07602,-144.76767,85.09,98.89
63.13984,-146.04271,56.11,86.49
63.34643,-144.68344,85.03,89.17
63.84503,-147.02734,103.3,107.16
64.44655,-145.67771,61.67,60.31
65.33388,-145.25473,92.97,94.99
64.31573,-147.85644,55.73,68.53
63.08365,-145.12791,84.88,95.05
63.98687,-146.73876,50.47,69.74
64.90743,-146.24406,83.52,91.03
63.2169,-146.65135,67.86,65.43
64.99524,-148.23543,56.93,69.28
64.60807,-148.80407,100.19,109.06
64.80334,-144.52812,87.15,89.73
64.70489,-148.20276,90.25,91.78
65.40205,-147.49298,52.29,68.97
62.9974,-148.3429,82.15,95.08
65.56029,-148.65359,73.13,71.77
63.07305,-147.55208,82.11,89.06
63.06407,-145.0117,60.52,72.82
65.20377,-146.19758,100.95,114.13
65.49428,-146.67915,90.11,92.7
63.93664,-147.84129,86.7,96.04
63.28039,-147.08479,56.54,71.6
65.20323,-146.51091,79.97,75.86
65.01079,-145.65225,63.01,81.02
64.08109,-146.54514,82.61,90.61
65.18791,-145.78887,92.44,107.49
65.1031,-144.73405,87.73,82.56
63.6416,-148.39611,62.71,74.94
62.92931,-145.57757,94.67,98.05
63.91156,-148.11123,87.27,91.43
64.37803,-146.0515,67.19,84.58
65.14626,-146.95854,94.63,88.5
63.65695,-147.10852,85.17,100.7
65.11671,-145.03943,58.23,71.59
65.24534,-145.1274,86.27,93.81
64.98596,-144.64073,67.62,75.6
64.61846,-148.216,61.66,87.27
65.47242,-145.38315,92.63,89.55
65.05951,-145.69862,101.51,98.49
63.7066,-147.2261,109.59,95.26
63.2241,-146.29491,54.58,67.75
65.53229,-147.69406,82.86,96.26
63.92363,-147.70436,61.34,61.58
65.39447,-145.05328,54.88,81.82
64.04316,-145.39503,119.73,106.07
62.74092,-148.25181,89.06,94.1
65.24891,-146.53041,103.93,99.61
63.24158,-145.22484,99.17,94.23
62.84546,-146.57329,56.02,70.25
64.35028,-147.62182,61.61,66.65
65.14517,-147.3452,89.58,94.05
64.94363,-148.57006,85.74,98.9
63.13696,-146.01602,55.07,74.68
63.42774,-146.59988,87.99,93.87
63.23453,-148.03645,108.24,108.92
65.37707,-147.35676,72.1,73.13
62.68362,-148.65164,95.31,90.31
64.44436,-148.02496,60.7,78.88
63.28518,-147.3222,86.4,99.93
62.78285,-148.35752,87.49,95.37
63.9372,-145.29557,54.32,70.84
62.86128,-146.48144,78.21,76.71
65.39711,-144.72052,59.98,79.95
64.65317,-147.0435,107.01,116.59
63.69132,-148.11681,90.64,96.41
63.03874,-147.52661,91.46,89.03
62.76524,-145.42721,53.34,68.78
65.29423,-148.23419,80.5,104.43
64.59582,-147.62885,81.44,79.17
64.7234,-145.55038,87.37,94.94
64.4161,-144.86115,60.4,76.42
63.36484,-145.18517,96.99,111.42
65.02583,-145.98526,91.38,96.26
62.96156,-144.89933,94.34,95.84
64.1429,-147.62442,54.6,71.13
62.8802,-145.19702,84.64,82.2
65.29323,-147.32657,71.65,96.7
63.99215,-147.82845,63.22,79.62
63.30477,-145.10482,85.46,91.31
64.56727,-148.0662,83.52,100.66
64.01316,-147.7176,96.14,93.99
63.96061,-144.58842,58.54,74.94
65.52228,-148.71722,88.43,89.97
65.04406,-148.50635,93.64,96.6
65.29587,-147.35498,63.57,82.44
62.78606,-147.35545,67.43,81.67
63.95972,-144.97947,112.86,101.63
64.98129,-145.60979,77.65,95.52
65.42396,-144.97532,88.7,91.63
64.91541,-147.36191,59.81,72.53
65.17746,-147.83296,65.08,72.66
64.57229,-144.84291,64.55,80.0
63.75803,-147.04304,88.79,88.08
63.3094,-148.49375,92.46,88.87
63.33748,-144.71697,126.35,115.83
65.41494,-146.43816,57.55,67.62
65.31853,-145.59373,76.51,93.75
64.91192,-146.99498,60.86,63.93
63.7032,-147.12795,91.47,95.93
65.49448,-145.4153,66.16,80.45
63.75479,-145.02398,131.66,118.89
64.31794,-147.21763,79.7,87.27
63.38705,-145.44304,99.4,88.87
63.33887,-147.09796,61.72,75.06
63.87045,-146.71315,67.51,71.06
62.69476,-147.02446,76.23,93.35
65.14829,-148.20347,60.83,76.06
63.78413,-147.82986,94.22,99.95
63.43945,-145.51396,78.57,93.17
63.61586,-148.05332,96.81,88.37
63.68965,-146.99214,80.41,78.59
62.7354,-146.55911,65.55,82.64
64.33115,-148.02261,76.77,97.14
63.9052,-148.31456,93.26,102.19
65.25885,-146.37566,58.14,75.74
64.41714,-146.24885,91.67,84.82
64.3851,-146.36823,79.15,99.32
64.95222,-145.32973,95.75,99.84
64.43828,-145.90153,61.98,80.86
63.03726,-148.63185,92.96,90.17
63.62396,-145.51275,74.36,93.88
64.11748,-148.22745,56.28,76.15
64.67626,-145.88619,93.44,83.91
64.97856,-148.25845,88.85,98.49
63.19448,-146.80367,63.6,81.83
62.96673,-148.69152,79.65,99.66
64.09769,-146.52191,95.32,98.55
64.51505,-147.77165,98.37,97.35
63.23178,-146.00838,55.61,79.24
63.20843,-146.38771,92.53,82.83
63.27738,-145.43196,71.57,85.26
63.03868,-148.30994,71.33,86.97
64.30749,-145.08494,85.52,91.52
65.11967,-145.06753,76.07,92.81
65.2113,-145.22243,101.72,89.85
63.7541,-147.13077,56.55,76.54
62.94131,-144.55861,92.2,90.28
64.58818,-146.25789,99.13,100.14
63.01306,-148.71253,75.88,90.58
63.41434,-144.88711,72.07,86.7
65.15654,-148.51031,120.7,106.05
63.30383,-147.83467,70.44,86.24
63.66315,-145.40527,88.44,89.59
64.77736,-148.31354,58.43,72.38
64.98687,-147.05854,65.66,73.92
65.54081,-145.74989,79.95,94.22
64.76582,-147.90889,89.0,84.41
63.8193,-148.75453,93.64,89.97
64.12853,-147.34319,136.6,121.21
63.79461,-146.46602,59.2,70.09
63.98855,-146.8818,66.75,82.05
64.6292,-148.54625,67.45,71.28
64.20926,-147.20095,94.6,94.13
63.07288,-148.33612,74.5,87.17
64.22496,-147.62675,143.3,127.76
63.11197,-147.88384,78.59,83.94
62.91705,-148.36578,93.88,86.88
64.79216,-144.89017,63.37,73.35
63.26108,-144.88789,75.79,74.3
63.19776,-147.33698,65.74,81.73
62.86206,-148.79396,67.48,76.73
63.66768,-147.80095,100.86,100.22
62.85807,-146.99977,77.03,88.49
64.11602,-144.61366,97.38,88.38
65.09567,-145.43955,87.14,81.42
63.54375,-147.7616,69.1,80.61
63.14214,-144.79868,97.32,101.9
64.66447,-144.87698,66.21,83.7
64.92788,-146.51372,61.42,80.91
62.99255,-144.55791,102.34,92.78
64.07072,-148.75251,109.69,106.93
64.49343,-145.34377,75.76,85.93
63.85402,-146.06136,67.3,82.92
65.27212,-146.12922,99.32,98.52
63.41085,-145.54378,67.22,80.62
64.89012,-147.49292,58.45,80.79
65.36999,-145.66877,91.14,96.51
65.16935,-144.5892,105.57,96.29
64.40254,-147.24674,71.09,88.56
62.77134,-145.88516,75.51,82.85
64.27577,-148.72865,108.66,108.46
63.2082,-145.90783,103.16,104.57
63.24097,-145.97526,58.52,80.47
63.54713,-146.28191,74.44,83.06
62.74829,-148.26231,100.86,92.7
64.345,-148.45016,78.71,88.73
64.57904,-148.6868,87.87,90.38
63.55929,-146.83066,72.6,82.49
64.984,-147.90186,103.25,90.91
65.04602,-145.75096,99.81,94.19
63.30991,-148.70448,57.9,81.89
64.75138,-145.63764,101.8,100.72
63.13476,-145.24105,80.86,87.14
62.95747,-146.06787,81.36,82.92
64.90903,-148.24871,118.64,108.77
64.0477,-144.79858,92.63,91.44
63.04063,-148.19723,73.16,82.77
64.82888,-147.64209,55.41,75.69
64.04415,-144.53959,81.17,87.34
65.45486,-148.43688,76.48,78.77
63.1941,-145.66102,89.41,83.64
63.47053,-147.40048,99.81,95.31
63.06252,-144.942,133.2,120.53
63.73318,-146.98425,55.51,69.71
63.41743,-145.14176,72.45,83.74
63.321,-144.74052,81.3,84.32
63.90968,-148.22661,99.29,95.98
64.86893,-145.49652,78.57,86.29
63.2984,-144.71067,139.84,127.41
62.96389,-148.52557,93.38,93.7
62.82128,-145.29909,88.52,83.91
65.42915,-148.64362,56.96,72.92
64.74899,-145.37347,81.85,81.79
65.22122,-146.24745,69.3,80.65
65.22922,-146.1385,70.68,82.15
64.27043,-146.11035,107.65,104.48
64.10741,-146.18426,94.1,96.95
64.62207,-147.30853,95.07,90.29
64.11328,-146.80258,88.62,84.03
63.38211,-146.83575,65.72,80.68
64.97013,-147.61384,95.9,100.64
63.51462,-145.91464,66.02,78.91
65.31777,-145.83389,68.78,86.79
63.03546,-146.74334,105.52,102.77
63.87151,-145.15949,119.47,112.78
62.84987,-148.79938,89.72,91.99
62.79122,-145.14731,70.83,85.43
64.356,-147.74948,105.81,101.89
64.81063,-147.18105,70.63,78.24
65.43581,-147.25071,69.21,87.67
62.98726,-145.06816,100.55,99.84
65.2166,-148.62899,113.18,107.34
63.7173,-147.9905,76.63,92.6
64.51929,-148.08985,82.27,86.12
64.95844,-148.81297,119.56,119.44
62.85625,-147.29359,116.39,115.88
65.58326,-148.34251,67.68,86.47
62.783,-144.57725,74.25,84.0
64.31751,-145.47297,106.52,100.67
62.72055,-147.40092,83.05,92.47
63.05949,-144.91546,102.99,100.07
63.44987,-145.9635,84.09,90.23
63.33629,-147.97422,98.89,90.28
64.47193,-148.25843,106.27,103.02
65.04778,-146.71491,63.11,81.88
63.31223,-145.22846,111.47,107.21
64.69569,-147.82694,76.12,82.3
65.2536,-145.57162,77.13,80.15
63.6744,-147.41325,115.79,112.62
64.22251,-145.06095,99.58,98.87
65.48672,-144.55988,87.94,96.55
64.64309,-147.86797,55.4,78.95
63.31675,-145.21177,77.47,83.41
65.33095,-145.22645,93.61,89.87
64.38247,-148.17137,86.32,86.79
63.1164,-148.26004,102.22,100.33
65.07519,-146.41799,131.59,132.0
64.53127,-146.88825,86.41,99.17
63.2909,-145.90631,54.63,74.42
65.5884,-147.90488,102.16,96.99
63.81604,-147.90002,91.11,88.7
65.34277,-147.25551,75.03,83.02
65.13973,-147.02146,145.13,141.37
64.30887,-147.91774,97.05,102.8
64.96304,-147.07119,92.34,87.7
65.17687,-148.17434,54.44,72.13
63.47289,-144.89687,86.41,89.4
64.06494,-145.6578,82.05,97.57
63.15664,-145.61052,75.6,85.4
62.95528,-147.455,109.1,107.39
64.9094,-145.1025,99.96,100.66
63.13844,-148.29185,94.5,88.03
63.31239,-148.73148,92.49,91.53
65.53753,-145.84224,60.07,81.18
64.49658,-145.01941,109.37,106.25
63.71391,-145.93603,76.5,82.21
64.70672,-146.3104,83.05,96.58
64.00251,-145.54787,119.0,120.24
62.76567,-147.03136,96.07,94.87
64.56272,-146.50601,101.86,99.84
65.33774,-148.37606,71.5,89.75
63.42258,-144.51171,105.66,100.33
64.28061,-147.35268,74.83,77.53
64.76947,-147.14383,91.12,116.98
