lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,77.31,101.98
65.38499,-147.1732,123.45,129.62
64.03572,-147.23177,85.85,92.12
63.0264,-145.18753,95.38,108.8
63.36603,-147.69194,88.87,101.53
64.86224,-146.10659,108.99,133.62
62.77942,-147.73412,103.6,128.23
64.43882,-147.89695,119.59,133.18
65.22958,-145.70516,87.09,98.38
62.96174,-148.63803,77.75,99.98
62.81455,-146.82605,99.5,110.52
63.09599,-148.78702,118.52,126.68
63.85189,-144.81025,89.66,103.39
64.51035,-147.78857,95.96,112.74
64.1257,-146.1165,103.02,131.57
64.12763,-147.86259,81.62,95.31
62.82426,-145.3255,109.63,128.69
64.65373,-148.05261,123.26,136.71
64.39338,-145.95556,106.13,108.7
65.03083,-144.94144,86.07,103.08
63.10026,-147.95944,103.58,117.61
64.36772,-146.69777,112.61,129.35
63.63464,-147.58945,82.74,96.0
65.41934,-148.52916,98.73,125.91
63.27725,-146.43685,109.26,123.63
63.32261,-144.8107,127.45,150.88
63.84605,-145.21706,88.69,110.64
65.26479,-146.11841,105.49,109.05
65.5222,-147.999,101.4,116.9
65.49771,-145.08161,88.87,93.91
63.571,-147.84773,109.92,125.91
62.92935,-147.90014,97.92,124.65
65.33979,-145.86618,104.01,112.8
63.21905,-144.9681,94.2,120.84
64.09531,-147.72012,110.02,124.28
63.15439,-145.0182,131.75,156.97
63.15123,-147.06461,102.05,118.66
63.16763,-144.7419,83.4,85.7
64.85641,-147.20119,111.97,107.16
65.11176,-145.96641,99.96,119.39
64.54725,-148.46915,109.11,123.18
64.05384,-144.96899,101.09,119.14
64.8469,-146.97055,101.63,114.91
64.88207,-146.68632,74.47,81.37
65.03259,-147.07863,132.96,148.28
65.19642,-145.32092,114.29,123.94
63.94181,-145.04749,110.09,104.39
64.14253,-145.6727,88.81,108.22
62.87603,-146.86522,100.82,114.58
64.26459,-146.54912,80.83,95.19
65.02275,-147.30579,112.32,131.44
63.35886,-145.01787,101.49,103.66
63.69116,-147.39067,105.44,95.65
63.18881,-144.81498,129.91,144.62
64.79977,-147.5982,123.26,127.26
63.81736,-146.19588,125.46,139.19
65.22892,-148.05909,80.98,105.67
63.4951,-144.69865,92.73,114.21
65.13546,-146.84551,101.76,117.03
63.43506,-146.79465,98.34,108.55
62.85083,-148.27087,114.95,132.25
65.54438,-146.68147,132.54,147.83
64.7121,-145.08501,132.09,135.38
65.39842,-145.51703,86.72,116.16
64.66659,-147.78307,74.31,104.14
63.36144,-146.20902,105.3,115.6
62.90129,-144.93266,117.61,136.85
63.09261,-145.84217,96.18,111.06
64.83039,-147.52371,91.09,106.29
65.42653,-148.54051,129.02,140.6
63.09402,-148.15842,116.44,125.73
63.71568,-146.93605,76.09,98.09
63.43349,-144.6624,138.94,142.24
63.15005,-147.75352,108.61,117.5
63.40411,-147.30587,93.18,103.81
65.54904,-145.39805,110.23,133.22
64.62543,-144.63476,100.43,112.38
64.07175,-146.39126,78.72,93.43
63.29124,-147.77026,122.78,138.42
63.58393,-146.14846,115.51,125.87
63.5742,-148.55511,148.87,153.73
63.93519,-145.5708,97.53,114.79
64.77946,-147.78469,110.64,118.95
64.99489,-147.143,103.48,114.5
64.14543,-148.67452,86.74,90.96
63.76363,-146.16719,111.41,123.51
65.48577,-145.88724,121.81,140.37
63.4918,-145.58508,101.07,112.18
64.267,-144.77289,115.45,127.74
63.44693,-145.52411,108.28,131.9
62.96356,-145.71376,158.44,167.08
65.03814,-145.30932,108.22,121.27
64.43875,-145.78439,77.04,84.21
64.46335,-148.58202,103.79,109.48
63.69502,-146.1179,109.3,122.24
64.78172,-146.1808,127.26,147.0
62.92032,-144.59859,109.38,130.1
62.81965,-148.41019,107.97,118.91
64.61687,-146.41813,74.83,82.26
64.50374,-148.40287,120.57,124.9
63.22467,-144.68138,161.63,176.75
62.85312,-145.81426,105.47,100.91
65.13705,-146.9932,93.14,109.82
62.81892,-145.67837,127.73,146.88
63.90706,-146.2054,85.2,96.37
64.82636,-145.03279,113.25,129.58
64.05614,-146.48617,112.12,119.34
65.17523,-148.3678,110.38,101.45
64.72219,-148.32591,159.26,174.2
64.45605,-144.70579,129.21,131.34
65.36378,-147.48325,87.36,116.22
63.49631,-145.98139,90.51,117.27
63.60255,-145.66741,117.19,138.4
63.20672,-145.42796,114.27,124.9
62.76462,-147.71332,117.23,131.92
64.97459,-145.00462,164.57,170.64
63.20675,-144.74822,135.69,135.05
64.39806,-146.43409,86.86,120.34
65.03432,-147.90589,92.44,117.65
65.58441,-146.44838,121.21,136.39
62.79417,-146.57128,112.2,128.27
64.36398,-146.40874,107.43,118.54
62.90565,-145.36569,86.57,102.92
64.95915,-145.578,119.24,133.87
65.27157,-145.93519,157.75,163.35
63.92199,-147.49014,87.5,111.0
65.33277,-148.31901,142.26,140.72
63.97699,-144.56439,111.12,121.77
63.41735,-145.25568,101.76,108.18
64.48036,-148.0072,113.98,128.25
63.57528,-147.76051,94.11,104.84
65.03034,-145.53697,80.71,101.45
63.04893,-146.14658,147.73,158.42
64.86733,-147.65184,122.58,132.69
63.15255,-144.72207,156.26,148.91
65.37189,-145.50255,100.0,106.44
65.08598,-146.91672,116.01,119.37
64.88755,-145.73748,98.46,109.94
63.60574,-146.47917,80.13,96.6
63.96554,-148.28586,113.23,122.99
65.19934,-148.42995,152.9,168.3
62.7166,-145.96953,93.88,111.68
64.99452,-146.29943,123.84,138.24
65.05674,-146.29458,112.57,127.15
63.68064,-148.47729,170.14,168.52
65.08628,-147.18346,120.19,125.46
63.39047,-146.36394,76.86,88.17
64.982,-145.0151,98.9,109.77
63.24552,-147.24309,110.4,129.33
63.04081,-147.4836,163.28,169.23
64.36496,-148.74455,105.82,125.17
62.69634,-148.11981,126.51,147.42
63.43177,-148.11244,123.34,135.86
63.23189,-145.59825,68.22,86.01
63.87162,-147.88731,171.98,180.04
63.49226,-144.78598,107.47,107.21
64.91,-148.54228,154.87,161.4
63.81665,-146.86999,95.79,109.61
63.72201,-147.31824,79.28,95.05
64.20047,-147.04636,113.23,126.99
63.77403,-145.37242,122.53,154.42
64.15639,-146.2302,170.62,186.53
63.59441,-145.24306,121.31,112.8
65.23972,-147.22089,127.63,138.38
63.91094,-146.304,82.7,118.18
65.11881,-145.66455,92.27,100.43
63.63243,-148.57069,138.49,150.59
63.22936,-144.77802,120.34,134.07
65.3545,-147.51798,115.12,127.44
63.25689,-145.76876,167.97,176.54
63.46552,-146.9068,132.73,136.23
64.38889,-147.63143,89.02,101.76
65.06573,-144.56259,84.92,116.69
65.5031,-147.99384,126.53,131.98
63.38303,-146.35364,119.61,133.41
64.85075,-148.08655,119.08,131.9
64.4345,-147.31759,117.6,131.55
64.02029,-144.55356,158.64,177.58
64.78262,-147.01933,79.57,95.17
63.62831,-148.11839,88.02,117.29
64.45769,-148.30892,138.53,139.38
63.74207,-147.39385,119.39,134.78
64.72055,-146.83185,98.03,112.8
64.01168,-144.70352,119.95,124.07
64.88791,-145.61886,83.09,96.79
64.66791,-147.32873,81.29,113.88
63.64222,-148.60873,152.53,169.46
64.75344,-147.50451,124.21,136.08
62.74557,-147.20815,150.36,150.25
64.69822,-148.33762,92.87,103.68
62.82724,-146.16346,124.96,134.14
64.09013,-146.32366,91.71,109.67
64.7317,-146.56141,81.25,102.42
63.14881,-146.30579,116.55,124.09
64.55161,-146.39495,158.48,172.3
63.39798,-146.74271,127.74,150.05
65.32247,-147.71364,96.2,116.16
63.16177,-146.91869,161.3,154.54
63.30122,-147.80774,102.46,114.48
64.43848,-145.24345,118.04,132.75
63.34974,-145.27878,78.06,93.45
65.29243,-145.89335,113.88,122.31
65.08403,-144.85002,100.49,114.37
63.22773,-145.91159,156.53,171.18
63.97065,-147.86767,104.95,115.16
63.81825,-147.5274,121.44,140.62
63.58282,-146.07774,133.97,153.4
64.53318,-144.60135,164.3,164.8
64.43999,-148.11424,74.18,96.0
63.283,-148.61833,114.73,109.42
64.1508,-144.86957,148.14,155.99
63.05162,-145.46967,93.97,108.28
63.92544,-147.33064,115.76,125.64
62.7213,-146.78889,72.61,88.83
65.49795,-146.58699,122.87,145.26
64.42883,-145.62919,163.82,172.23
62.93901,-146.13356,133.58,152.2
65.14075,-147.70351,134.94,117.58
64.89554,-147.28383,85.31,104.7
65.26568,-148.26338,79.05,88.79
64.56768,-144.74267,133.54,144.47
63.74928,-146.7044,128.21,152.18
63.26236,-146.41629,118.85,130.08
64.56813,-147.46775,161.92,166.56
63.58052,-145.93632,133.45,145.74
64.13503,-147.54183,78.18,86.28
64.7218,-145.59551,78.62,104.12
64.16128,-144.90712,122.76,130.57
63.831,-144.85106,129.47,141.55
65.09462,-147.60877,105.63,133.08
65.3863,-145.64428,121.25,129.43
63.37943,-148.36278,154.11,173.29
63.74056,-146.99477,78.31,82.86
65.26034,-148.13233,80.48,103.7
63.93682,-147.25316,135.75,146.81
63.62708,-146.6249,132.44,141.49
65.08441,-146.57625,81.64,109.9
63.86049,-148.79259,117.38,124.9
64.93927,-147.34947,86.49,88.48
63.62446,-148.34737,83.4,101.7
63.73935,-147.10966,150.17,171.32
65.45483,-144.85112,125.54,129.52
65.59045,-148.35388,137.91,147.15
63.92805,-147.09971,84.65,103.52
64.49997,-147.67729,128.0,142.92
63.36383,-146.05181,99.54,105.78
64.93662,-147.99946,84.89,108.7
64.04968,-147.4406,116.4,123.94
62.78854,-148.61857,150.75,168.13
65.18189,-148.23111,132.83,143.81
63.03753,-147.38715,139.52,142.92
63.23546,-144.83133,105.78,111.7
62.70143,-146.9656,90.84,104.06
63.02176,-145.31683,122.82,136.23
62.75509,-147.74561,88.54,111.47
64.98787,-146.16974,117.73,123.78
64.09209,-148.57021,152.82,159.51
62.74429,-147.95893,110.08,111.53
63.22384,-147.02842,96.76,108.55
65.58518,-145.6938,143.62,155.74
64.01999,-148.74741,122.45,150.56
64.69679,-146.46277,144.18,145.76
64.17661,-147.98271,88.44,110.13
63.89952,-147.71622,120.17,115.28
63.39891,-146.44462,142.13,157.9
63.67647,-148.77748,87.55,104.84
63.58907,-146.68729,121.33,129.79
65.08794,-148.08575,87.15,102.56
64.62424,-148.49031,125.23,166.56
64.16938,-148.59132,148.72,152.06
65.23264,-146.04699,149.65,157.4
65.26096,-145.5823,132.02,118.02
65.16251,-144.93741,81.43,103.97
64.99731,-145.70453,82.66,88.33
65.4744,-145.77344,125.62,147.85
63.35038,-148.39036,106.02,154.64
63.8187,-146.63971,123.8,132.52
65.18042,-148.49856,153.24,154.19
62.96446,-146.91905,143.62,148.12
65.59137,-147.31747,76.3,99.52
65.48593,-147.25385,79.28,87.55
64.16676,-144.61301,123.65,132.85
64.07602,-144.76767,126.2,147.97
63.13984,-146.04271,80.27,129.58
63.34643,-144.68344,126.2,129.25
63.84503,-147.02734,150.79,156.61
64.44655,-145.67771,90.49,85.83
65.33388,-145.25473,139.23,139.19
64.31573,-147.85644,79.14,101.32
63.08365,-145.12791,124.32,140.77
63.98687,-146.73876,72.76,102.77
64.90743,-146.24406,122.29,131.57
63.2169,-146.65135,99.91,93.22
64.99524,-148.23543,81.14,101.3
64.60807,-148.80407,145.28,159.58
64.80334,-144.52812,129.99,129.02
64.70489,-148.20276,135.3,133.83
65.40205,-147.49298,75.7,102.21
62.9974,-148.3429,119.88,139.92
65.56029,-148.65359,107.68,103.5
63.07305,-147.55208,120.44,129.0
63.06407,-145.0117,86.66,106.48
65.20377,-146.19758,147.5,169.31
65.49428,-146.67915,134.34,134.9
63.93664,-147.84129,129.43,140.79
63.28039,-147.08479,82.01,105.55
65.20323,-146.51091,117.92,110.62
65.01079,-145.65225,89.83,118.27
64.08109,-146.54514,122.29,132.46
65.18791,-145.78887,135.86,159.66
65.1031,-144.73405,129.58,121.29
63.6416,-148.39611,91.34,109.63
62.92931,-145.57757,141.35,144.41
63.91156,-148.11123,129.25,132.62
64.37803,-146.0515,97.05,123.68
65.14626,-146.95854,139.11,129.74
63.65695,-147.10852,125.23,150.13
65.11671,-145.03943,82.97,104.74
65.24534,-145.1274,128.34,137.74
64.98596,-144.64073,99.31,110.54
64.61846,-148.216,89.29,131.21
65.47242,-145.38315,136.97,129.19
65.05951,-145.69862,151.52,143.89
63.7066,-147.2261,161.69,137.97
63.2241,-146.29491,77.44,99.31
65.53229,-147.69406,122.6,143.81
63.92363,-147.70436,89.91,88.02
65.39447,-145.05328,78.33,122.54
64.04316,-145.39503,176.85,155.47
62.74092,-148.25181,132.13,136.56
65.24891,-146.53041,154.96,145.88
63.24158,-145.22484,148.45,136.75
62.84546,-146.57329,79.07,103.37
64.35028,-147.62182,90.09,97.55
65.14517,-147.3452,132.11,136.31
64.94363,-148.57006,127.57,148.08
63.13696,-146.01602,79.72,110.75
63.42774,-146.59988,129.7,135.69
63.23453,-148.03645,161.48,161.56
65.37707,-147.35676,106.33,106.52
62.68362,-148.65164,142.63,131.32
64.44436,-148.02496,86.16,116.22
63.28518,-147.3222,128.11,148.78
62.78285,-148.35752,128.11,139.0
63.9372,-145.29557,78.6,104.74
62.86128,-146.48144,115.0,111.29
65.39711,-144.72052,84.48,117.67
64.65317,-147.0435,159.02,173.7
63.69132,-148.11681,133.93,139.73
63.03874,-147.52661,136.93,129.91
62.76524,-145.42721,76.73,101.36
65.29423,-148.23419,118.25,156.28
64.59582,-147.62885,119.93,115.7
64.7234,-145.55038,128.11,138.32
64.4161,-144.86115,85.25,111.74
63.36484,-145.18517,143.69,165.46
65.02583,-145.98526,135.57,139.89
62.96156,-144.89933,140.52,140.12
64.1429,-147.62442,78.76,104.51
62.8802,-145.19702,125.0,121.11
65.29323,-147.32657,104.24,145.07
63.99215,-147.82845,89.66,116.78
63.30477,-145.10482,126.62,133.0
64.56727,-148.0662,122.89,149.59
64.01316,-147.7176,142.51,139.63
63.96061,-144.58842,84.79,110.6
65.52228,-148.71722,131.13,130.7
65.04406,-148.50635,137.66,140.6
65.29587,-147.35498,91.56,122.95
62.78606,-147.35545,97.3,119.51
63.95972,-144.97947,167.41,148.86
64.98129,-145.60979,113.9,142.8
65.42396,-144.97532,132.17,133.1
