lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,61.22,77.52
65.38499,-147.1732,91.09,99.56
64.03572,-147.23177,63.74,72.46
63.0264,-145.18753,72.86,83.67
63.36603,-147.69194,69.21,79.32
64.86224,-146.10659,82.18,99.73
62.77942,-147.73412,80.19,99.19
64.43882,-147.89695,89.99,99.75
65.22958,-145.70516,66.31,76.3
62.96174,-148.63803,61.61,77.46
62.81455,-146.82605,75.01,83.05
63.09599,-148.78702,88.04,96.89
63.85189,-144.81025,68.4,80.19
64.51035,-147.78857,73.54,87.38
64.1257,-146.1165,79.55,99.21
64.12763,-147.86259,63.89,74.41
62.82426,-145.3255,82.74,97.51
64.65373,-148.05261,92.6,102.27
64.39338,-145.95556,79.16,81.89
65.03083,-144.94144,66.04,78.7
63.10026,-147.95944,78.53,91.46
64.36772,-146.69777,83.92,97.16
63.63464,-147.58945,64.95,74.97
65.41934,-148.52916,77.25,95.19
63.27725,-146.43685,82.41,94.28
63.32261,-144.8107,96.2,112.03
63.84605,-145.21706,66.85,82.3
65.26479,-146.11841,80.34,83.18
65.5222,-147.999,78.12,90.86
65.49771,-145.08161,67.68,74.14
63.571,-147.84773,82.26,95.19
62.92935,-147.90014,76.79,92.5
65.33979,-145.86618,79.59,88.08
63.21905,-144.9681,72.09,89.18
64.09531,-147.72012,82.55,93.99
63.15439,-145.0182,98.86,117.17
63.15123,-147.06461,79.05,88.58
63.16763,-144.7419,63.04,66.97
64.85641,-147.20119,85.14,85.52
65.11176,-145.96641,77.31,89.0
64.54725,-148.46915,82.08,94.38
64.05384,-144.96899,77.19,91.28
64.8469,-146.97055,79.05,86.34
64.88207,-146.68632,56.85,63.64
65.03259,-147.07863,99.0,112.14
65.19642,-145.32092,85.64,94.05
63.94181,-145.04749,84.56,81.85
64.14253,-145.6727,68.67,82.7
62.87603,-146.86522,77.15,87.32
64.26459,-146.54912,62.46,73.89
65.02275,-147.30579,84.34,99.54
63.35886,-145.01787,78.41,80.79
63.69116,-147.39067,81.77,76.63
63.18881,-144.81498,96.76,108.12
64.79977,-147.5982,91.75,96.95
63.81736,-146.19588,94.15,106.07
65.22892,-148.05909,62.77,80.05
63.4951,-144.69865,71.03,87.98
65.13546,-146.84551,77.04,87.71
63.43506,-146.79465,75.78,84.33
62.85083,-148.27087,86.51,100.54
65.54438,-146.68147,98.42,110.19
64.7121,-145.08501,97.03,101.88
65.39842,-145.51703,67.6,87.82
64.66659,-147.78307,58.85,78.89
63.36144,-146.20902,78.53,86.14
62.90129,-144.93266,88.68,104.01
63.09261,-145.84217,73.94,85.0
64.83039,-147.52371,69.4,82.82
65.42653,-148.54051,97.26,105.3
63.09402,-148.15842,87.5,97.3
63.71568,-146.93605,59.56,74.97
63.43349,-144.6624,101.92,107.77
63.15005,-147.75352,80.94,86.65
63.40411,-147.30587,71.45,79.82
65.54904,-145.39805,83.34,100.47
64.62543,-144.63476,75.99,86.57
64.07175,-146.39126,62.48,73.21
63.29124,-147.77026,93.55,103.41
63.58393,-146.14846,86.51,95.65
63.5742,-148.55511,109.75,115.39
63.93519,-145.5708,73.11,85.68
64.77946,-147.78469,83.94,88.48
64.99489,-147.143,78.74,88.15
64.14543,-148.67452,66.4,71.86
63.76363,-146.16719,83.76,95.58
65.48577,-145.88724,93.31,103.25
63.4918,-145.58508,77.15,85.23
64.267,-144.77289,86.47,96.93
63.44693,-145.52411,82.95,98.03
62.96356,-145.71376,116.73,125.27
65.03814,-145.30932,83.13,90.41
64.43875,-145.78439,60.68,67.04
64.46335,-148.58202,79.53,83.69
63.69502,-146.1179,83.03,94.38
64.78172,-146.1808,96.43,106.13
62.92032,-144.59859,84.5,98.84
62.81965,-148.41019,83.28,90.43
64.61687,-146.41813,57.47,64.95
64.50374,-148.40287,89.87,95.4
63.22467,-144.68138,118.45,130.74
62.85312,-145.81426,81.52,80.36
65.13705,-146.9932,73.05,85.89
62.81892,-145.67837,95.87,106.69
63.90706,-146.2054,66.15,74.58
64.82636,-145.03279,86.07,99.38
64.05614,-146.48617,86.97,92.35
65.17523,-148.3678,85.08,80.9
64.72219,-148.32591,117.32,128.09
64.45605,-144.70579,94.15,98.34
65.36378,-147.48325,68.03,87.4
63.49631,-145.98139,71.03,88.93
63.60255,-145.66741,88.89,100.99
63.20672,-145.42796,87.88,96.56
62.76462,-147.71332,88.54,101.12
64.97459,-145.00462,121.08,127.2
63.20675,-144.74822,98.65,101.99
64.39806,-146.43409,68.67,91.83
65.03432,-147.90589,70.16,87.57
65.58441,-146.44838,91.48,103.5
62.79417,-146.57128,84.58,93.8
64.36398,-146.40874,82.72,92.15
62.90565,-145.36569,66.95,79.92
64.95915,-145.578,89.53,101.36
65.27157,-145.93519,117.6,121.96
63.92199,-147.49014,66.69,82.89
65.33277,-148.31901,103.17,107.0
63.97699,-144.56439,84.56,91.46
63.41735,-145.25568,77.42,83.49
64.48036,-148.0072,86.32,98.44
63.57528,-147.76051,71.2,80.5
65.03034,-145.53697,62.42,76.5
63.04893,-146.14658,110.31,116.65
64.86733,-147.65184,91.03,100.68
63.15255,-144.72207,113.3,113.07
65.37189,-145.50255,74.7,82.59
65.08598,-146.91672,88.54,90.74
64.88755,-145.73748,74.41,82.66
63.60574,-146.47917,61.94,73.13
63.96554,-148.28586,86.78,96.47
65.19934,-148.42995,113.52,120.5
62.7166,-145.96953,71.64,83.78
64.99452,-146.29943,92.12,103.46
65.05674,-146.29458,84.73,95.69
63.68064,-148.47729,124.13,126.14
65.08628,-147.18346,91.34,95.34
63.39047,-146.36394,58.48,67.35
64.982,-145.0151,75.92,83.4
63.24552,-147.24309,85.18,100.54
63.04081,-147.4836,122.68,124.57
64.36496,-148.74455,84.02,96.62
62.69634,-148.11981,96.99,110.04
63.43177,-148.11244,92.5,102.92
63.23189,-145.59825,53.63,66.0
63.87162,-147.88731,126.1,134.39
63.49226,-144.78598,81.81,83.67
64.91,-148.54228,117.58,122.16
63.81665,-146.86999,75.95,86.99
63.72201,-147.31824,61.77,72.69
64.20047,-147.04636,86.55,98.36
63.77403,-145.37242,96.54,116.24
64.15639,-146.2302,125.93,138.57
63.59441,-145.24306,90.51,88.08
65.23972,-147.22089,94.47,104.02
63.91094,-146.304,66.69,88.95
65.11881,-145.66455,70.95,78.72
63.63243,-148.57069,103.95,111.58
63.22936,-144.77802,93.7,106.21
65.3545,-147.51798,87.55,98.05
63.25689,-145.76876,125.56,134.34
63.46552,-146.9068,97.14,103.25
64.38889,-147.63143,68.76,78.84
65.06573,-144.56259,67.26,87.09
65.5031,-147.99384,94.63,101.47
63.38303,-146.35364,91.65,99.52
64.85075,-148.08655,91.27,100.74
64.4345,-147.31759,88.62,99.79
64.02029,-144.55356,119.88,132.56
64.78262,-147.01933,62.07,73.79
63.62831,-148.11839,69.03,87.61
64.45769,-148.30892,101.55,106.33
63.74207,-147.39385,92.83,101.41
64.72055,-146.83185,76.01,86.16
64.01168,-144.70352,90.3,97.45
64.88791,-145.61886,63.95,74.93
64.66791,-147.32873,64.18,84.46
63.64222,-148.60873,114.91,126.24
64.75344,-147.50451,92.64,103.37
62.74557,-147.20815,108.68,113.01
64.69822,-148.33762,69.69,80.01
62.82724,-146.16346,96.35,102.19
64.09013,-146.32366,69.92,82.12
64.7317,-146.56141,63.29,77.25
63.14881,-146.30579,89.39,98.01
64.55161,-146.39495,120.13,126.64
63.39798,-146.74271,95.29,111.82
65.32247,-147.71364,73.94,85.89
63.16177,-146.91869,116.32,116.71
63.30122,-147.80774,77.81,87.53
64.43848,-145.24345,92.12,100.82
63.34974,-145.27878,60.2,71.43
65.29243,-145.89335,88.25,96.56
65.08403,-144.85002,76.98,85.81
63.22773,-145.91159,121.91,128.79
63.97065,-147.86767,81.85,89.91
63.81825,-147.5274,94.96,106.11
63.58282,-146.07774,99.85,114.99
64.53318,-144.60135,120.63,123.96
64.43999,-148.11424,58.61,73.25
63.283,-148.61833,87.61,85.56
64.1508,-144.86957,114.89,120.15
63.05162,-145.46967,75.41,84.69
63.92544,-147.33064,87.84,97.74
62.7213,-146.78889,58.48,70.79
65.49795,-146.58699,96.02,111.53
64.42883,-145.62919,121.42,129.95
62.93901,-146.13356,100.7,114.6
65.14075,-147.70351,100.82,92.08
64.89554,-147.28383,68.61,79.96
65.26568,-148.26338,61.38,69.58
64.56768,-144.74267,102.21,109.98
63.74928,-146.7044,97.92,116.38
63.26236,-146.41629,89.16,99.75
64.56813,-147.46775,122.33,128.44
63.58052,-145.93632,99.62,111.0
64.13503,-147.54183,61.22,67.35
64.7218,-145.59551,63.99,78.45
64.16128,-144.90712,93.78,102.69
63.831,-144.85106,96.56,104.74
65.09462,-147.60877,82.66,100.24
65.3863,-145.64428,90.8,99.87
63.37943,-148.36278,119.16,131.96
63.74056,-146.99477,61.19,67.53
65.26034,-148.13233,64.47,77.98
63.93682,-147.25316,99.48,111.35
63.62708,-146.6249,99.91,106.31
65.08441,-146.57625,64.18,82.78
63.86049,-148.79259,89.35,99.06
64.93927,-147.34947,66.64,71.49
63.62446,-148.34737,65.65,77.95
