lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,50.49,97.9
65.38499,-147.1732,69.5,74.6
64.03572,-147.23177,48.99,103.35
63.0264,-145.18753,57.84,96.54
63.36603,-147.69194,56.1,83.82
64.86224,-146.10659,64.28,89.04
62.77942,-147.73412,64.57,89.58
64.43882,-147.89695,70.23,111.76
65.22958,-145.70516,52.45,116.26
62.96174,-148.63803,50.84,105.34
62.81455,-146.82605,58.67,100.02
63.09599,-148.78702,67.68,73.91
63.85189,-144.81025,54.21,84.07
64.51035,-147.78857,58.56,118.23
64.1257,-146.1165,63.89,98.3
64.12763,-147.86259,52.06,99.25
62.82426,-145.3255,64.78,91.03
64.65373,-148.05261,72.15,112.3
64.39338,-145.95556,61.19,98.03
65.03083,-144.94144,52.68,82.45
63.10026,-147.95944,61.8,121.98
64.36772,-146.69777,64.76,74.74
63.63464,-147.58945,53.1,96.99
65.41934,-148.52916,62.93,95.83
63.27725,-146.43685,64.49,92.29
63.32261,-144.8107,75.32,104.28
63.84605,-145.21706,52.27,84.54
65.26479,-146.11841,63.56,102.32
65.5222,-147.999,62.58,103.1
65.49771,-145.08161,53.55,97.01
63.571,-147.84773,63.8,76.67
62.92935,-147.90014,62.71,96.85
65.33979,-145.86618,63.31,80.07
63.21905,-144.9681,57.32,98.53
64.09531,-147.72012,64.22,91.4
63.15439,-145.0182,76.94,104.02
63.15123,-147.06461,63.7,103.33
63.16763,-144.7419,49.45,82.59
64.85641,-147.20119,67.26,84.58
65.11176,-145.96641,62.19,95.52
64.54725,-148.46915,64.05,82.1
64.05384,-144.96899,61.26,109.92
64.8469,-146.97055,63.97,103.7
64.88207,-146.68632,45.1,77.66
65.03259,-147.07863,76.32,103.29
65.19642,-145.32092,66.5,94.75
63.94181,-145.04749,67.53,88.73
64.14253,-145.6727,55.23,94.51
62.87603,-146.86522,61.36,89.31
64.26459,-146.54912,50.19,99.17
65.02275,-147.30579,65.67,93.18
63.35886,-145.01787,63.0,97.1
63.69116,-147.39067,66.0,74.2
63.18881,-144.81498,74.64,105.2
64.79977,-147.5982,70.72,110.15
63.81736,-146.19588,73.23,79.42
65.22892,-148.05909,50.61,93.08
63.4951,-144.69865,56.53,118.58
65.13546,-146.84551,60.53,90.01
63.43506,-146.79465,60.72,92.0
62.85083,-148.27087,67.55,98.3
65.54438,-146.68147,75.63,102.07
64.7121,-145.08501,73.63,111.39
65.39842,-145.51703,54.84,116.84
64.66659,-147.78307,48.52,101.11
63.36144,-146.20902,60.66,100.91
62.90129,-144.93266,69.36,81.31
63.09261,-145.84217,59.12,93.78
64.83039,-147.52371,54.9,90.8
65.42653,-148.54051,76.05,102.28
63.09402,-148.15842,68.18,98.77
63.71568,-146.93605,48.54,93.41
63.43349,-144.6624,77.21,114.79
63.15005,-147.75352,62.5,97.14
63.40411,-147.30587,56.95,84.42
65.54904,-145.39805,65.4,79.63
64.62543,-144.63476,59.7,79.86
64.07175,-146.39126,51.64,108.22
63.29124,-147.77026,74.04,101.28
63.58393,-146.14846,67.16,96.97
63.5742,-148.55511,83.63,116.88
63.93519,-145.5708,56.84,89.22
64.77946,-147.78469,66.13,103.0
64.99489,-147.143,62.21,79.53
64.14543,-148.67452,52.83,104.66
63.76363,-146.16719,65.32,85.66
65.48577,-145.88724,74.29,107.41
63.4918,-145.58508,61.2,77.27
64.267,-144.77289,67.12,102.13
63.44693,-145.52411,66.04,113.32
62.96356,-145.71376,88.89,122.72
65.03814,-145.30932,66.37,103.79
64.43875,-145.78439,49.76,73.73
64.46335,-148.58202,63.33,77.68
63.69502,-146.1179,65.52,91.46
64.78172,-146.1808,75.86,111.87
62.92032,-144.59859,67.91,116.98
62.81965,-148.41019,66.79,107.45
64.61687,-146.41813,45.87,67.82
64.50374,-148.40287,69.38,105.15
63.22467,-144.68138,89.62,121.79
62.85312,-145.81426,65.55,74.97
65.13705,-146.9932,59.66,106.58
62.81892,-145.67837,74.6,110.71
63.90706,-146.2054,53.45,101.32
64.82636,-145.03279,67.93,96.72
64.05614,-146.48617,70.19,114.19
65.17523,-148.3678,68.18,71.43
64.72219,-148.32591,89.35,119.18
64.45605,-144.70579,70.74,109.22
65.36378,-147.48325,55.13,105.57
63.49631,-145.98139,58.01,122.97
63.60255,-145.66741,70.0,102.34
63.20672,-145.42796,70.27,118.16
62.76462,-147.71332,69.4,102.92
64.97459,-145.00462,92.04,126.06
63.20675,-144.74822,73.92,112.99
64.39806,-146.43409,56.55,111.22
65.03432,-147.90589,55.27,112.67
65.58441,-146.44838,71.64,93.08
62.79417,-146.57128,66.13,96.37
64.36398,-146.40874,66.21,108.03
62.90565,-145.36569,53.86,66.79
64.95915,-145.578,69.69,104.31
65.27157,-145.93519,90.8,127.59
63.92199,-147.49014,52.83,109.73
65.33277,-148.31901,77.08,114.21
63.97699,-144.56439,66.83,99.5
63.41735,-145.25568,61.19,93.72
64.48036,-148.0072,67.85,96.33
63.57528,-147.76051,55.91,67.0
65.03034,-145.53697,50.22,92.6
63.04893,-146.14658,85.33,122.54
64.86733,-147.65184,70.0,105.42
63.15255,-144.72207,84.63,118.14
65.37189,-145.50255,57.8,88.5
65.08598,-146.91672,70.19,106.04
64.88755,-145.73748,58.34,74.78
63.60574,-146.47917,49.8,74.41
63.96554,-148.28586,69.11,96.64
65.19934,-148.42995,87.23,123.7
62.7166,-145.96953,56.8,73.89
64.99452,-146.29943,70.93,107.08
65.05674,-146.29458,66.17,113.21
63.68064,-148.47729,93.43,127.74
65.08628,-147.18346,72.09,112.74
63.39047,-146.36394,46.2,54.07
64.982,-145.0151,60.59,68.4
63.24552,-147.24309,68.32,98.01
63.04081,-147.4836,95.58,152.74
64.36496,-148.74455,69.46,122.0
62.69634,-148.11981,77.29,138.55
63.43177,-148.11244,71.93,108.12
63.23189,-145.59825,43.9,52.18
63.87162,-147.88731,95.5,135.07
63.49226,-144.78598,64.7,67.74
64.91,-148.54228,92.68,155.64
63.81665,-146.86999,62.71,113.61
63.72201,-147.31824,50.09,62.77
64.20047,-147.04636,68.76,99.13
63.77403,-145.37242,79.22,149.74
64.15639,-146.2302,96.1,131.22
63.59441,-145.24306,69.96,73.94
65.23972,-147.22089,72.34,104.74
63.91094,-146.304,56.0,109.75
65.11881,-145.66455,56.7,77.19
63.63243,-148.57069,80.92,126.89
63.22936,-144.77802,75.92,141.93
65.3545,-147.51798,69.15,105.44
63.25689,-145.76876,97.26,143.27
63.46552,-146.9068,73.4,108.78
64.38889,-147.63143,55.23,71.26
65.06573,-144.56259,55.46,109.88
65.5031,-147.99384,73.34,98.34
63.38303,-146.35364,73.0,110.56
64.85075,-148.08655,72.69,111.82
64.4345,-147.31759,69.27,105.82
64.02029,-144.55356,94.03,151.27
64.78262,-147.01933,50.4,60.9
63.62831,-148.11839,56.35,111.91
64.45769,-148.30892,76.88,114.97
63.74207,-147.39385,75.1,113.75
64.72055,-146.83185,61.32,92.81
64.01168,-144.70352,70.52,98.92
64.88791,-145.61886,51.19,65.24
64.66791,-147.32873,52.78,101.72
63.64222,-148.60873,89.8,143.17
64.75344,-147.50451,71.59,108.97
62.74557,-147.20815,80.87,116.15
64.69822,-148.33762,54.25,83.59
62.82724,-146.16346,77.25,120.17
64.09013,-146.32366,55.39,68.72
64.7317,-146.56141,51.31,74.68
63.14881,-146.30579,71.26,98.51
