lat,lon,mean_ALD_hist,mean_ALD_future_medium,mean_ALD_future_high
62.682,-147.53268,0.592249298,0.783812989,0.983812989
62.68213,-144.53275,1.00489162,1.51520209,1.71520209
62.68214,-148.16132,0.441783242,0.585475241,0.785475241
62.68298,-146.42998,0.680284247,0.887844369,1.087844369
62.68371,-146.98134,0.672288084,0.919570458,1.119570458
62.68505,-145.00702,0.827135459,1.172170863,1.372170863
62.68549,-145.95569,0.787016506,1.12824782,1.32824782
62.68616,-145.48135,0.756666847,1.070238985,1.270238985
62.68639,-148.23874,0.410921379,0.551473724,0.751473724
62.68663,-147.61002,0.572686444,0.775175512,0.975175512
63.37933,-148.37772,0.559664213,0.756760609,0.956760609
63.38023,-147.73199,0.55504765,0.749211174,0.949211174
63.3804,-146.03287,0,0.295649286,0.495649286
63.38046,-145.05846,0.276692277,0.529710701,0.729710701
63.38136,-145.54565,0.256138273,0.477051037,0.677051037
63.38279,-147.16562,0.564801739,0.758586649,0.958586649
63.38284,-146.59921,0,0.189738146,0.389738146
63.38344,-148.45728,0.552143523,0.765984478,0.965984478
63.38417,-144.6501,0.601135158,0.797051751,0.997051751
63.38475,-147.81145,0.556494395,0.760112561,0.960112561
63.84473,-146.44431,0.741457339,0.946484846,1.146484846
63.84534,-147.02109,0.800751038,1.054716318,1.254716318
63.8466,-144.95572,1.251090756,1.83633921,2.03633921
63.84724,-145.94815,1.214943713,1.706755938,1.906755938
63.84731,-148.33646,0.439275417,0.613635209,0.813635209
63.84787,-145.45193,1.264152114,1.910889618,2.110889618
63.848,-147.67874,0.347054596,0.50529352,0.70529352
63.84998,-144.53981,1.008377109,1.46614539,1.66614539
63.85005,-146.52498,0.723675353,0.946777113,1.146777113
63.85031,-147.10188,0.822901119,1.082851349,1.282851349
63.04727,-144.5446,0.558642624,0.767980549,0.967980549
63.04774,-146.46852,0.594778087,0.805882476,1.005882476
63.04829,-147.02763,0.527417871,0.70895069,0.90895069
63.05015,-145.02554,0.42813056,0.617068879,0.817068879
63.0504,-145.98758,0.607486533,0.844910469,1.044910469
63.05042,-148.30269,0.433204717,0.615168237,0.815168237
63.05096,-147.66513,0.521877065,0.732169942,0.932169942
63.05119,-145.50656,0.562353777,0.760988289,0.960988289
63.05304,-146.54672,0.539237688,0.718559578,0.918559578
63.05324,-147.10596,0.445140466,0.613233263,0.813233263
63.58633,-144.89529,0.914911397,1.246484537,1.446484537
