29.03125,-103.40625,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.03125,-103.34375,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.03125,-103.28125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.03125,-103.21875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.09375,-103.40625,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.09375,-103.34375,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.09375,-103.28125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.09375,-103.21875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.78125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.71875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.65625,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.59375,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.53125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.46875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.40625,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.34375,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.28125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.21875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.15625,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.15625,-103.09375,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.21875,-103.78125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.21875,-103.71875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.21875,-103.65625,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.21875,-103.59375,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.21875,-103.53125,0.92736,0.89377,0.84111,2.37709,-1.8056,3
29.21875,-103.46875,0.92736,0.89377,0.84111,2.37709,-1.8056,3
