lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,31.67,40.1
65.38499,-147.1732,47.12,51.5
64.03572,-147.23177,32.97,37.48
63.0264,-145.18753,37.69,43.28
63.36603,-147.69194,35.8,41.03
64.86224,-146.10659,42.51,51.59
62.77942,-147.73412,41.48,51.31
64.43882,-147.89695,46.55,51.6
65.22958,-145.70516,34.3,39.47
62.96174,-148.63803,31.87,40.07
62.81455,-146.82605,38.8,42.96
63.09599,-148.78702,45.54,50.12
63.85189,-144.81025,35.38,41.48
64.51035,-147.78857,38.04,45.2
64.1257,-146.1165,41.15,51.32
64.12763,-147.86259,33.05,38.49
62.82426,-145.3255,42.8,50.44
64.65373,-148.05261,47.9,52.9
64.39338,-145.95556,40.95,42.36
65.03083,-144.94144,34.16,40.71
63.10026,-147.95944,40.62,47.31
64.36772,-146.69777,43.41,50.26
63.63464,-147.58945,33.6,38.78
65.41934,-148.52916,39.96,49.24
63.27725,-146.43685,42.63,48.77
63.32261,-144.8107,49.76,57.95
63.84605,-145.21706,34.58,42.57
65.26479,-146.11841,41.56,43.03
65.5222,-147.999,40.41,47
65.49771,-145.08161,35.01,38.35
63.571,-147.84773,42.55,49.24
62.92935,-147.90014,39.72,47.85
65.33979,-145.86618,41.17,45.56
63.21905,-144.9681,37.29,46.13
64.09531,-147.72012,42.7,48.62
63.15439,-145.0182,51.14,60.61
63.15123,-147.06461,40.89,45.82
63.16763,-144.7419,32.61,34.64
64.85641,-147.20119,44.04,44.24
65.11176,-145.96641,39.99,46.04
64.54725,-148.46915,42.46,48.82
64.05384,-144.96899,39.93,47.22
64.8469,-146.97055,40.89,44.66
64.88207,-146.68632,29.41,32.92
65.03259,-147.07863,51.21,58.01
65.19642,-145.32092,44.3,48.65
63.94181,-145.04749,43.74,42.34
64.14253,-145.6727,35.52,42.78
62.87603,-146.86522,39.91,45.17
64.26459,-146.54912,32.31,38.22
65.02275,-147.30579,43.63,51.49
63.35886,-145.01787,40.56,41.79
63.69116,-147.39067,42.3,39.64
63.18881,-144.81498,50.05,55.93
64.79977,-147.5982,47.46,50.15
63.81736,-146.19588,48.7,54.87
65.22892,-148.05909,32.47,41.41
63.4951,-144.69865,36.74,45.51
65.13546,-146.84551,39.85,45.37
63.43506,-146.79465,39.2,43.62
62.85083,-148.27087,44.75,52.01
65.54438,-146.68147,50.91,57
64.7121,-145.08501,50.19,52.7
65.39842,-145.51703,34.97,45.43
64.66659,-147.78307,30.44,40.81
63.36144,-146.20902,40.62,44.56
62.90129,-144.93266,45.87,53.8
63.09261,-145.84217,38.25,43.97
64.83039,-147.52371,35.9,42.84
65.42653,-148.54051,50.31,54.47
63.09402,-148.15842,45.26,50.33
63.71568,-146.93605,30.81,38.78
63.43349,-144.6624,52.72,55.75
63.15005,-147.75352,41.87,44.82
63.40411,-147.30587,36.96,41.29
65.54904,-145.39805,43.11,51.97
64.62543,-144.63476,39.31,44.78
64.07175,-146.39126,32.32,37.87
63.29124,-147.77026,48.39,53.49
63.58393,-146.14846,44.75,49.48
63.5742,-148.55511,56.77,59.69
63.93519,-145.5708,37.82,44.32
64.77946,-147.78469,43.42,45.77
64.99489,-147.143,40.73,45.6
64.14543,-148.67452,34.35,37.17
63.76363,-146.16719,43.33,49.44
65.48577,-145.88724,48.27,53.41
63.4918,-145.58508,39.91,44.09
64.267,-144.77289,44.73,50.14
63.44693,-145.52411,42.91,50.71
62.96356,-145.71376,60.38,64.8
65.03814,-145.30932,43,46.77
64.43875,-145.78439,31.39,34.68
64.46335,-148.58202,41.14,43.29
63.69502,-146.1179,42.95,48.82
64.78172,-146.1808,49.88,54.9
62.92032,-144.59859,43.71,51.13
62.81965,-148.41019,43.08,46.78
64.61687,-146.41813,29.73,33.6
64.50374,-148.40287,46.49,49.35
63.22467,-144.68138,61.27,67.63
62.85312,-145.81426,42.17,41.57
65.13705,-146.9932,37.79,44.43
62.81892,-145.67837,49.59,55.19
63.90706,-146.2054,34.22,38.58
64.82636,-145.03279,44.52,51.41
64.05614,-146.48617,44.99,47.77
65.17523,-148.3678,44.01,41.85
64.72219,-148.32591,60.69,66.26
64.45605,-144.70579,48.7,50.87
65.36378,-147.48325,35.19,45.21
63.49631,-145.98139,36.74,46
63.60255,-145.66741,45.98,52.24
63.20672,-145.42796,45.46,49.95
62.76462,-147.71332,45.8,52.31
64.97459,-145.00462,62.63,65.8
63.20675,-144.74822,51.03,52.76
64.39806,-146.43409,35.52,47.5
65.03432,-147.90589,36.29,45.3
65.58441,-146.44838,47.32,53.54
62.79417,-146.57128,43.75,48.52
64.36398,-146.40874,42.79,47.67
62.90565,-145.36569,34.63,41.34
64.95915,-145.578,46.31,52.43
65.27157,-145.93519,60.83,63.09
63.92199,-147.49014,34.5,42.88
65.33277,-148.31901,53.37,55.35
63.97699,-144.56439,43.74,47.31
63.41735,-145.25568,40.05,43.19
64.48036,-148.0072,44.65,50.92
63.57528,-147.76051,36.83,41.64
65.03034,-145.53697,32.29,39.57
63.04893,-146.14658,57.06,60.34
64.86733,-147.65184,47.09,52.08
63.15255,-144.72207,58.61,58.49
65.37189,-145.50255,38.64,42.72
65.08598,-146.91672,45.8,46.94
64.88755,-145.73748,38.49,42.76
63.60574,-146.47917,32.04,37.83
63.96554,-148.28586,44.89,49.9
65.19934,-148.42995,58.72,62.33
62.7166,-145.96953,37.06,43.34
64.99452,-146.29943,47.65,53.52
65.05674,-146.29458,43.83,49.5
63.68064,-148.47729,64.21,65.25
