lat,lon,mean_ALD_hist
63.92544,-147.33064,0.55
62.7213,-146.78889,0.46
65.49795,-146.58699,0.74
64.42883,-145.62919,0.60
62.93901,-146.13356,0.53
65.14075,-147.70351,1.22
64.89554,-147.28383,1.34
65.26568,-148.26338,0.57
64.56768,-144.74267,0.25
63.74928,-146.7044,0.38
63.26236,-146.41629,0.07
64.56813,-147.46775,0.19
63.58052,-145.93632,0.03
64.13503,-147.54183,0.00
64.7218,-145.59551,0.29
64.16128,-144.90712,0.37
63.831,-144.85106,0.72
65.09462,-147.60877,0.08
65.3863,-145.64428,0.57
63.37943,-148.36278,0.49
63.74056,-146.99477,0.41
65.26034,-148.13233,0.38
63.93682,-147.25316,0.60
63.62708,-146.6249,0.00
65.08441,-146.57625,0.68
63.86049,-148.79259,0.30
64.93927,-147.34947,0.57
63.62446,-148.34737,0.52
63.73935,-147.10966,0.34
65.45483,-144.85112,0.35
65.59045,-148.35388,0.77
63.92805,-147.09971,0.82
64.49997,-147.67729,1.21
63.36383,-146.05181,1.19
64.93662,-147.99946,0.44
64.04968,-147.4406,1.39
62.78854,-148.61857,0.36
65.18189,-148.23111,1.03
63.03753,-147.38715,0.70
63.23546,-144.83133,0.68
62.70143,-146.9656,0.66
63.02176,-145.31683,0.54
62.75509,-147.74561,0.53
64.98787,-146.16974,0.83
64.09209,-148.57021,0.69
62.74429,-147.95893,0.60
63.22384,-147.02842,0.78
65.58518,-145.6938,0.54
64.01999,-148.74741,1.27
64.69679,-146.46277,0.40
64.17661,-147.98271,0.59
63.89952,-147.71622,0.65
63.39891,-146.44462,0.45
63.67647,-148.77748,1.52
63.58907,-146.68729,0.50
65.08794,-148.08575,0.41
64.62424,-148.49031,1.09
64.16938,-148.59132,1.18
65.23264,-146.04699,0.60
65.26096,-145.5823,0.47
65.16251,-144.93741,0.56
64.99731,-145.70453,0.53
65.4744,-145.77344,0.38
63.35038,-148.39036,0.61
63.8187,-146.63971,0.55
65.18042,-148.49856,0.63
62.96446,-146.91905,0.48
65.59137,-147.31747,0.60
65.48593,-147.25385,0.68
64.16676,-144.61301,0.48
64.07602,-144.76767,0.48
63.13984,-146.04271,0.55
63.34643,-144.68344,0.40
63.84503,-147.02734,0.57
64.44655,-145.67771,0.53
65.33388,-145.25473,0.70
64.31573,-147.85644,0.51
63.08365,-145.12791,0.55
63.98687,-146.73876,0.62
64.90743,-146.24406,0.67
63.2169,-146.65135,0.74
64.99524,-148.23543,0.55
64.60807,-148.80407,0.65
64.80334,-144.52812,0.59
64.70489,-148.20276,0.74
65.40205,-147.49298,0.74
62.9974,-148.3429,0.73
65.56029,-148.65359,0.53
63.07305,-147.55208,0.30
63.06407,-145.0117,0.41
65.20377,-146.19758,0.34
65.49428,-146.67915,0.43
63.93664,-147.84129,0.52
63.28039,-147.08479,0.36
65.20323,-146.51091,0.29
65.01079,-145.65225,0.46
64.08109,-146.54514,0.48
65.18791,-145.78887,0.23
65.1031,-144.73405,0.44
63.6416,-148.39611,0.51
62.92931,-145.57757,0.00
63.91156,-148.11123,0.29
64.37803,-146.0515,0.35
65.14626,-146.95854,0.28
63.65695,-147.10852,0.39
65.11671,-145.03943,0.54
65.24534,-145.1274,0.40
64.98596,-144.64073,0.43
64.61846,-148.216,0.65
65.47242,-145.38315,1.35
65.05951,-145.69862,1.00
63.7066,-147.2261,0.49
63.2241,-146.29491,0.42
65.53229,-147.69406,0.34
63.92363,-147.70436,0.73
65.39447,-145.05328,0.58
64.04316,-145.39503,1.20
62.74092,-148.25181,0.42
65.24891,-146.53041,1.04
63.24158,-145.22484,0.66
62.84546,-146.57329,0.54
64.35028,-147.62182,0.73
65.14517,-147.3452,0.77
64.94363,-148.57006,1.31
63.13696,-146.01602,0.61
63.42774,-146.59988,0.41
63.23453,-148.03645,0.65
65.37707,-147.35676,1.06
62.68362,-148.65164,0.41
64.44436,-148.02496,0.88
63.28518,-147.3222,0.51
62.78285,-148.35752,0.72
63.9372,-145.29557,0.81
62.86128,-146.48144,0.74
65.39711,-144.72052,0.66
64.65317,-147.0435,0.63
63.69132,-148.11681,0.42
63.03874,-147.52661,0.48
62.76524,-145.42721,0.00
65.29423,-148.23419,0.60
64.59582,-147.62885,0.53
64.7234,-145.55038,0.00
64.4161,-144.86115,0.39
63.36484,-145.18517,0.51
65.02583,-145.98526,0.27
62.96156,-144.89933,0.58
64.1429,-147.62442,0.00
62.8802,-145.19702,0.45
65.29323,-147.32657,0.69
63.99215,-147.82845,0.61
63.30477,-145.10482,0.65
64.56727,-148.0662,0.73
64.01316,-147.7176,0.68
63.96061,-144.58842,0.53
65.52228,-148.71722,0.64
65.04406,-148.50635,0.73
65.29587,-147.35498,0.68
62.78606,-147.35545,0.67
63.95972,-144.97947,0.75
64.98129,-145.60979,0.72
65.42396,-144.97532,0.82
64.91541,-147.36191,0.53
65.17746,-147.83296,0.48
64.57229,-144.84291,0.53
63.75803,-147.04304,0.67
63.3094,-148.49375,0.63
63.33748,-144.71697,0.76
65.41494,-146.43816,0.89
65.31853,-145.59373,0.52
64.91192,-146.99498,0.24
63.7032,-147.12795,0.00
65.49448,-145.4153,0.79
63.75479,-145.02398,0.00
64.31794,-147.21763,0.52
63.38705,-145.44304,0.42
63.33887,-147.09796,0.65
63.87045,-146.71315,0.53
62.69476,-147.02446,0.48
65.14829,-148.20347,0.00
63.78413,-147.82986,0.64
63.43945,-145.51396,0.42
63.61586,-148.05332,0.19
63.68965,-146.99214,0.59
62.7354,-146.55911,0.34
64.33115,-148.02261,0.35
63.9052,-148.31456,0.00
65.25885,-146.37566,0.00
64.41714,-146.24885,0.47
64.3851,-146.36823,0.44
64.95222,-145.32973,0.19
64.43828,-145.90153,0.73
63.03726,-148.63185,0.84
63.62396,-145.51275,0.85
64.11748,-148.22745,0.00
64.67626,-145.88619,0.62
64.97856,-148.25845,0.46
63.19448,-146.80367,0.96
62.96673,-148.69152,0.20
64.09769,-146.52191,0.13
64.51505,-147.77165,0.70
63.23178,-146.00838,0.86
63.20843,-146.38771,1.14
63.27738,-145.43196,0.06
63.03868,-148.30994,0.69
64.30749,-145.08494,0.29
65.11967,-145.06753,0.16
65.2113,-145.22243,0.69
63.7541,-147.13077,1.55
62.94131,-144.55861,0.63
64.58818,-146.25789,0.64
63.01306,-148.71253,0.51
63.41434,-144.88711,0.74
65.15654,-148.51031,0.57
63.30383,-147.83467,0.49
63.66315,-145.40527,0.72
64.77736,-148.31354,0.61
64.98687,-147.05854,0.64
65.54081,-145.74989,0.60
64.76582,-147.90889,0.45
63.8193,-148.75453,0.59
64.12853,-147.34319,0.47
63.79461,-146.46602,0.00
63.98855,-146.8818,0.35
64.6292,-148.54625,0.35
64.20926,-147.20095,0.24
63.07288,-148.33612,0.40
64.22496,-147.62675,0.59
63.11197,-147.88384,0.00
62.91705,-148.36578,0.54
64.79216,-144.89017,0.71
63.26108,-144.88789,0.65
63.19776,-147.33698,0.64
62.86206,-148.79396,0.55
63.66768,-147.80095,0.80
62.85807,-146.99977,0.55
64.11602,-144.61366,0.73
65.09567,-145.43955,0.56
63.54375,-147.7616,0.68
63.14214,-144.79868,0.52
64.66447,-144.87698,0.30
64.92788,-146.51372,0.80
62.99255,-144.55791,1.32
64.07072,-148.75251,1.18
64.49343,-145.34377,0.81
63.85402,-146.06136,0.49
65.27212,-146.12922,0.38
63.41085,-145.54378,0.85
64.89012,-147.49292,1.18
65.36999,-145.66877,0.51
65.16935,-144.5892,0.63
64.40254,-147.24674,0.55
62.77134,-145.88516,0.53
64.27577,-148.72865,0.52
63.2082,-145.90783,0.50
63.24097,-145.97526,0.40
63.54713,-146.28191,0.57
62.74829,-148.26231,0.62
64.345,-148.45016,0.62
64.57904,-148.6868,1.33
63.55929,-146.83066,0.48
64.984,-147.90186,0.80
65.04602,-145.75096,0.84
63.30991,-148.70448,0.52
64.75138,-145.63764,1.14
63.13476,-145.24105,0.65
62.95747,-146.06787,1.06
64.90903,-148.24871,1.32
64.0477,-144.79858,0.75
63.04063,-148.19723,0.47
64.82888,-147.64209,0.51
64.04415,-144.53959,0.73
65.45486,-148.43688,0.74
63.1941,-145.66102,0.63
63.47053,-147.40048,0.86
63.06252,-144.942,0.53
63.73318,-146.98425,0.52
63.41743,-145.14176,0.70
63.321,-144.74052,0.75
63.90968,-148.22661,1.60
64.86893,-145.49652,0.68
63.2984,-144.71067,0.04
62.96389,-148.52557,0.47
62.82128,-145.29909,0.60
65.42915,-148.64362,0.62
64.74899,-145.37347,0.86
65.22122,-146.24745,0.72
65.22922,-146.1385,0.27
64.27043,-146.11035,0.66
64.10741,-146.18426,1.25
64.62207,-147.30853,0.40
64.11328,-146.80258,1.22
63.38211,-146.83575,0.27
64.97013,-147.61384,0.84
63.51462,-145.91464,0.65
65.31777,-145.83389,1.10
63.03546,-146.74334,0.63
63.87151,-145.15949,0.45
62.84987,-148.79938,0.34
62.79122,-145.14731,0.63
64.356,-147.74948,0.62
64.81063,-147.18105,0.70
65.43581,-147.25071,0.76
62.98726,-145.06816,0.70
65.2166,-148.62899,0.70
63.7173,-147.9905,0.66
64.51929,-148.08985,0.64
64.95844,-148.81297,0.67
62.85625,-147.29359,0.74
65.58326,-148.34251,0.00
62.783,-144.57725,0.16
64.31751,-145.47297,0.51
62.72055,-147.40092,0.58
63.05949,-144.91546,0.53
63.44987,-145.9635,0.00
63.33629,-147.97422,0.53
64.47193,-148.25843,0.27
65.04778,-146.71491,0.00
63.31223,-145.22846,0.63
64.69569,-147.82694,0.66
65.2536,-145.57162,0.77
63.6744,-147.41325,0.60
64.22251,-145.06095,0.61
65.48672,-144.55988,0.51
64.64309,-147.86797,0.73
63.31675,-145.21177,0.57
65.33095,-145.22645,0.77
64.38247,-148.17137,0.52
63.1164,-148.26004,0.64
65.07519,-146.41799,0.58
64.53127,-146.88825,0.63
63.2909,-145.90631,0.62
65.5884,-147.90488,1.54
63.81604,-147.90002,0.84
65.34277,-147.25551,0.56
65.13973,-147.02146,1.02
64.30887,-147.91774,0.12
64.96304,-147.07119,0.90
65.17687,-148.17434,0.64
63.47289,-144.89687,0.43
64.06494,-145.6578,0.32
63.15664,-145.61052,0.31
62.95528,-147.455,0.35
64.9094,-145.1025,0.52
63.13844,-148.29185,0.37
63.31239,-148.73148,0.61
65.53753,-145.84224,0.37
64.49658,-145.01941,0.40
63.71391,-145.93603,0.34
64.70672,-146.3104,0.34
64.00251,-145.54787,0.50
62.76567,-147.03136,0.35
64.56272,-146.50601,0.65
65.33774,-148.37606,0.51
63.42258,-144.51171,0.46
64.28061,-147.35268,0.42
64.76947,-147.14383,0.36
63.16898,-145.49086,0.46
64.92481,-145.67181,0.45
64.85547,-148.06951,0.00
63.66075,-148.33031,0.51
64.77952,-146.03463,0.60
64.87947,-145.41642,0.66
63.98252,-146.07841,0.46
64.71584,-146.27599,0.00
64.90774,-146.62813,0.52
63.276,-144.79434,0.59
63.44962,-148.30183,0.00
63.12202,-145.9957,0.57
64.24003,-145.45842,0.82
65.39731,-148.34629,0.70
63.21717,-145.46472,0.67
64.66076,-148.69158,0.77
64.01653,-145.03381,0.74
65.54518,-146.36505,0.84
65.22098,-144.54269,0.62
65.54531,-146.56062,0.37
64.25386,-147.07669,0.73
64.27194,-147.19776,0.70
63.42946,-146.37199,0.94
63.27412,-144.61076,0.68
63.61532,-145.31726,0.00
65.56754,-147.05971,0.82
65.52781,-146.31465,0.72
62.79257,-145.32859,0.55
64.22256,-148.00352,0.00
64.49706,-147.31458,0.71
63.96672,-144.64276,0.00
63.65621,-147.03764,0.00
65.43816,-147.89263,0.74
62.88134,-148.66027,1.41
64.41001,-146.42765,1.12
64.87646,-146.82212,0.42
63.79927,-146.6355,0.28
63.45191,-144.93722,0.80
64.80701,-144.91098,1.21
63.47947,-146.30323,0.77
63.38318,-146.5378,1.19
65.48992,-147.77609,1.40
64.79254,-146.1011,1.08
65.39038,-146.57171,1.02
63.46436,-147.53099,1.24
64.75366,-148.39835,0.80
63.67454,-147.74069,0.56
63.1089,-147.78718,1.24
65.02029,-144.78389,0.70
64.24899,-147.61472,0.85
64.47811,-145.98177,1.03
64.36402,-145.25686,1.32
62.71755,-145.74586,0.59
62.96104,-147.89918,0.64
65.06769,-145.35159,0.54
63.77056,-146.47865,0.63
63.65293,-145.02413,0.62
63.18303,-147.96243,0.66
63.46118,-145.77254,0.48
64.36754,-145.70735,0.54
65.41528,-145.80768,0.55
63.30211,-147.94819,0.51
64.15611,-145.62164,0.49
64.48571,-147.39325,0.62
63.61117,-146.34799,0.50
63.86505,-144.64396,0.48
64.00477,-147.56372,0.42
62.97023,-146.79016,0.44
63.42634,-144.88034,0.49
63.42608,-145.45012,0.50
64.65548,-148.48983,0.47
64.01644,-145.26539,0.55
64.94001,-147.762,0.34
64.85998,-145.9601,0.50
64.83093,-148.56594,0.58
63.31044,-146.94269,0.64
62.99063,-145.72747,0.62
65.23621,-145.40224,0.64
65.01488,-146.56979,0.35
64.67388,-146.5486,0.64
63.03436,-147.93451,0.58
63.1981,-148.72705,0.44
63.34409,-148.80152,0.46
63.82653,-144.86803,0.47
63.55377,-147.21727,0.37
64.28362,-144.98202,0.38
64.74568,-147.75778,0.43
64.97732,-145.38937,0.41
63.81382,-146.28384,0.50
62.9425,-146.04762,0.46
65.42362,-148.36294,0.48
65.29334,-148.7993,0.48
62.88395,-148.75641,0.46
65.14005,-146.82816,0.60
65.09428,-144.76923,0.41
64.9818,-148.50731,0.44
64.52739,-145.48563,0.32
65.5139,-146.17207,0.00
62.96223,-148.10797,0.44
62.78185,-144.73213,0.57
64.19162,-145.71799,0.43
65.00866,-145.02905,0.00
