return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,ng_idf_hist,ng_idf_future
2,62.682,-147.53268,17.0169,20.6349,32.997,28.8603
2,62.68213,-144.53275,23.8321,27.2661,25.5813,27.6512
2,62.68214,-148.16132,16.9073,20.4811,35.6738,31.3534
2,62.68298,-146.42998,18.8022,21.7481,31.3825,29.2245
2,62.68371,-146.98134,17.8,20.4625,26.5895,27.0714
2,62.68505,-145.00702,20.6035,24.715,28.5422,29.0705
2,62.68549,-145.95569,20.4172,25.2415,28.3338,26.3757
2,62.68616,-145.48135,24.6474,27.1786,39.215,34.7327
2,62.68639,-148.23874,16.1641,18.9713,35.8282,31.045
2,62.68663,-147.61002,17.5301,21.5299,36.324,28.9806
2,62.68829,-146.5071,18.3947,20.2946,31.3611,30.1576
2,62.6886,-144.60944,23.3013,26.513,25.4461,27.8461
2,62.68867,-147.05856,18.2668,21.8053,28.3318,28.3268
2,62.69057,-148.31619,18.8621,22.6907,38.0845,34.8778
2,62.69109,-146.03271,20.9465,25.4532,32.2302,28.0439
2,62.6912,-147.68735,15.6923,18.221,29.9118,24.6843
2,62.69123,-145.08382,21.6419,25.619,30.4073,29.8224
2,62.69205,-145.55827,24.6169,27.0467,38.3204,34.1418
2,62.69355,-146.58424,21.3397,22.3231,34.1931,34.9849
2,62.69359,-147.13583,16.6783,19.7669,26.1008,24.4665
2,62.69471,-148.39368,22.5862,27.0482,44.5859,38.9988
2,62.69503,-144.68616,20.5124,23.9681,23.6689,26.3911
2,62.69574,-147.76474,16.6827,19.1437,30.4663,26.5381
2,62.69664,-146.10977,20.1128,23.8779,30.6275,27.902
2,62.69737,-145.16068,20.6235,23.8883,29.514,28.1248
2,62.6979,-145.63524,22.2255,25.4032,30.7696,30.8107
2,62.69847,-147.2131,15.7334,19.0743,25.4438,24.2523
2,62.69876,-146.66142,19.0195,19.7243,30.6157,31.6182
2,62.6988,-148.47116,20.4882,24.0561,33.7576,30.181
2,62.70022,-147.84213,18.8435,21.4431,34.135,27.6393
2,62.70142,-144.76294,19.773,23.1541,23.7607,25.9428
2,62.70214,-146.18686,20.089,22.7629,31.0266,27.7469
2,62.70285,-148.54871,19.4481,21.9882,24.5973,26.0525
2,62.70329,-147.29042,19.2396,22.8351,33.0709,31.3354
2,62.70346,-145.23756,21.0693,24.1992,29.9846,28.0653
2,62.7037,-145.71223,26.2156,30.8796,35.4437,35.5858
2,62.70393,-146.73865,19.3244,20.7808,31.3464,31.9054
2,62.70466,-147.91956,15.9328,17.5502,26.6043,24.8823
2,62.70684,-148.62625,21.4087,22.6278,26.9238,27.0024
2,62.70761,-146.26399,19.8742,21.9656,30.5239,26.015
2,62.70774,-144.83974,21.9161,25.7144,28.0908,29.9087
2,62.70807,-147.36777,19.1014,22.6733,34.2738,31.4684
2,62.70904,-146.81587,20.0983,21.1381,32.5787,31.086
2,62.70904,-147.99701,13.8689,15.9299,23.8801,21.8067
2,62.70945,-145.78925,27.8323,32.1056,37.665,35.2089
2,62.70951,-145.31448,20.2465,22.5539,28.8405,26.1434
2,62.71079,-148.70383,22.5786,22.3395,29.6696,27.7782
2,62.7128,-147.44513,16.3682,19.4575,28.0086,27.7543
2,62.71301,-146.34116,20.3629,22.9448,29.6366,24.9632
2,62.71338,-148.07449,15.0887,17.9367,29.8139,25.6496
2,62.71404,-144.91656,21.3942,25.4967,30.3595,29.7228
2,62.71412,-146.89314,20.7219,21.5516,31.9378,28.4782
2,62.7147,-148.78142,21.2118,20.554,23.8491,24.5804
2,62.71516,-145.86632,25.1231,28.1907,35.4083,30.9309
2,62.7155,-145.39145,23.4701,25.4625,36.5546,31.2401
2,62.71731,-144.51855,22.6763,26.0066,24.5887,27.1038
2,62.71748,-147.52254,16.8218,20.9259,30.9393,29.3674
2,62.71767,-148.15201,18.497,23.0667,38.8085,33.3459
2,62.71838,-146.41833,20.6633,23.2656,30.7304,26.1262
2,62.71914,-146.97046,17.9,20.092,27.1146,26.0293
2,62.72028,-144.99345,21.9528,25.807,31.9545,29.7549
2,62.72082,-145.94342,24.56,27.6232,33.1476,30.3543
2,62.72145,-145.46843,23.2427,25.0975,35.163,32.8947
2,62.72192,-148.22954,18.8339,23.6661,40.123,35.0398
2,62.72211,-147.59996,14.9982,19.1781,31.2513,27.5641
2,62.7237,-146.49557,20.4251,22.3838,33.9765,29.8653
2,62.7238,-144.59535,21.4241,25.3499,25.1101,27.0182
2,62.72411,-147.04779,20.6075,23.5716,32.6882,32.8976
2,62.72611,-148.3071,18.1601,22.2082,30.0288,28.4
2,62.72643,-146.02054,22.2613,23.9321,29.9367,27.5342
2,62.72648,-145.07037,23.5137,27.0165,34.062,31.5606
2,62.72669,-147.67741,16.2006,19.8769,31.1775,27.3576
2,62.72736,-145.54546,25.0642,27.5228,37.269,37.3242
2,62.72897,-146.57281,19.4039,20.5084,30.1587,28.766
2,62.72904,-147.12514,17.443,19.5487,25.8599,25.5887
2,62.73024,-144.67218,21.7561,26.1458,26.4916,28.2943
2,62.73026,-148.38467,17.4899,20.321,23.401,25.2064
2,62.73124,-147.7549,15.9939,18.5004,33.5238,26.2256
2,62.73199,-146.09772,24.9082,26.9253,34.0705,33.609
2,62.73263,-145.14732,19.8547,22.3194,28.6682,26.6394
2,62.73321,-145.62253,24.7943,26.6323,34.654,36.2097
2,62.73392,-147.20251,18.9226,22.0537,29.7055,27.7426
2,62.73418,-146.65009,21.0131,21.6568,32.7258,32.3485
2,62.73436,-148.46228,22.0948,25.0591,28.243,30.2861
2,62.73572,-147.8324,16.7459,18.7374,33.173,27.1028
2,62.73663,-144.74905,19.1264,22.5276,25.0819,25.0353
2,62.7375,-146.1749,25.6205,27.0608,37.0352,35.9127
2,62.73841,-148.53992,18.1837,19.9794,22.959,23.0409
2,62.73873,-145.2243,20.3603,23.1672,30.975,27.617
2,62.73875,-147.27994,20.8941,23.8607,35.8544,32.3737
2,62.73901,-145.69962,28.9818,31.747,40.0107,40.311
2,62.73935,-146.72742,21.918,23.0568,34.2763,33.4751
2,62.74016,-147.90994,16.9951,18.9808,25.1777,25.5191
2,62.74241,-148.61757,17.3817,18.2488,21.3163,21.3761
2,62.74297,-144.82596,19.9572,23.0867,27.863,25.6976
2,62.74297,-146.25212,26.0458,27.0761,38.4156,34.8306
2,62.74353,-147.35739,20.7502,23.8262,35.7418,32.0877
2,62.74449,-146.80475,21.5016,22.9938,34.5844,32.6588
2,62.74455,-147.98749,16.0099,18.6407,23.6636,22.1901
2,62.74478,-145.30133,22.169,24.1964,33.6019,28.7765
2,62.74478,-145.77673,28.4813,31.7882,38.7022,38.6886
2,62.74637,-148.69525,20.9621,21.3136,23.9754,25.1554
2,62.74827,-147.43486,20.7498,24.3174,37.0694,34.1812
2,62.74839,-146.32938,21.7688,23.3088,32.3084,30.0008
2,62.74891,-148.06506,19.1107,21.4635,36.2241,29.2754
2,62.74926,-144.90289,21.6335,25.237,30.8019,28.156
2,62.74957,-146.88213,22.1997,23.5128,36.1157,32.6712
2,62.75027,-148.77295,20.9402,20.6336,21.9386,21.923
2,62.7505,-145.85391,26.8831,29.2903,35.86,34.5648
2,62.75078,-145.37839,19.6362,21.186,30.3166,25.2067
2,62.75296,-147.51236,19.1036,23.6169,36.5735,32.7003
2,62.7532,-148.14268,16.2421,19.6038,34.4255,29.5535
2,62.75377,-146.40668,22.5341,24.4719,32.9412,30.4485
2,62.75459,-146.95953,22.0884,24.4061,37.139,34.2966
2,62.75552,-144.97987,22.8004,26.4769,33.8165,30.9189
2,62.75616,-145.93111,26.1595,27.915,35.8294,34.4458
2,62.75674,-145.45547,22.6848,24.5359,34.6769,32.1027
2,62.75745,-148.22032,18.7766,24.1712,36.9334,32.217
2,62.7576,-147.58989,18.0431,22.0348,36.7789,30.589
2,62.75902,-144.58124,22.2123,25.2845,28.8564,27.4008
2,62.75909,-146.48399,21.484,22.9935,31.3082,29.5568
2,62.75958,-147.03696,23.5909,26.5571,38.4864,39.7344
2,62.76165,-148.29797,18.5254,22.2058,22.9746,25.1731
2,62.76172,-145.05688,23.8143,27.2177,35.6458,31.948
2,62.76178,-146.00833,30.2817,31.4625,42.552,40.2555
2,62.76219,-147.66745,17.2411,20.9357,35.8111,30.5494
2,62.76265,-145.53261,23.8641,26.1639,35.3632,35.1954
2,62.76437,-146.56134,21.647,23.0722,32.2347,30.7487
2,62.76451,-147.11441,22.0865,24.1915,33.8295,33.9836
2,62.76546,-144.65816,23.1182,26.7643,32.8171,29.859
2,62.76581,-148.37567,17.662,20.2991,21.1693,22.8954
2,62.76674,-147.74503,14.1789,16.8931,26.1405,24.9216
2,62.76735,-146.0856,28.803,29.9691,41.364,39.1125
2,62.76788,-145.13394,23.8681,27.044,35.9497,32.36
2,62.76852,-145.60977,26.4367,27.8423,36.9014,38.1722
2,62.7694,-147.19191,17.9162,20.6646,27.4292,25.8188
2,62.76959,-146.63873,20.0148,20.4269,30.2298,28.4152
2,62.76991,-148.45337,20.259,22.382,25.9629,25.8805
2,62.77123,-147.82263,15.6777,18.0895,23.4267,23.6352
2,62.77187,-144.73512,22.6652,25.8329,31.6886,29.3776
2,62.77287,-146.1629,26.3078,26.7231,37.3098,37.0044
2,62.77396,-148.53111,16.744,19.2093,21.7835,22.453
2,62.774,-145.21103,24.9573,28.2385,37.6767,36.6859
2,62.77423,-147.26944,20.864,23.5586,35.6977,31.9747
2,62.77434,-145.68697,28.8077,30.1786,39.3888,37.9916
2,62.77477,-146.71616,26.7666,27.9369,41.8587,40.3864
2,62.77568,-147.90027,15.7986,18.2822,18.4903,21.1318
2,62.77797,-148.60887,18.7128,20.3241,21.1263,23.0901
2,62.77822,-144.81213,23.0364,27.4209,33.0468,32.0978
2,62.77835,-146.24023,27.8878,27.6557,44.5634,41.8791
2,62.77903,-147.34698,21.9977,24.5637,38.6342,36.3874
2,62.77991,-146.79359,23.6983,26.0905,42.4822,37.7638
2,62.78006,-145.28815,23.81,26.7939,35.7859,35.0505
2,62.78008,-147.97794,15.5824,18.6893,18.5198,21.1776
2,62.78011,-145.76421,27.7009,30.144,39.1758,38.3823
2,62.78194,-148.68665,23.2182,24.3922,24.3066,26.3856
2,62.78378,-146.31758,31.2669,32.3808,52.5129,49.1598
2,62.78378,-147.42456,19.0326,21.8219,34.4831,30.5226
2,62.78444,-148.05563,15.2191,17.5482,19.0773,20.1813
2,62.78453,-144.88918,21.251,24.4924,30.6344,28.3396
2,62.785,-146.87106,24.2463,27.7853,45.8361,45.5786
2,62.78583,-145.84146,29.472,32.6834,40.2439,40.7669
2,62.78585,-148.76447,20.1278,20.5961,21.2773,22.5283
2,62.78607,-145.3653,23.083,25.8823,33.4197,32.1099
2,62.78846,-147.50217,18.8928,23.4229,37.022,31.6951
2,62.78874,-148.13333,17.6784,20.0247,24.0614,23.1146
2,62.78915,-146.39497,26.5913,28.112,41.6985,41.6819
2,62.79004,-146.94858,26.1683,30.1951,48.9175,46.1285
2,62.79079,-144.96625,20.3261,23.0521,30.9857,27.8314
2,62.7915,-145.91876,30.1416,32.9084,44.404,42.9722
2,62.79204,-145.4425,21.5604,23.8581,31.9477,31.0877
2,62.79299,-148.21107,16.3328,18.7871,21.0703,20.3536
2,62.79311,-147.57979,19.3682,23.5202,38.3723,33.7879
2,62.79422,-144.56708,22.9616,25.392,30.7896,27.9891
2,62.79449,-146.4724,24.2223,25.5247,36.6882,35.0676
2,62.79502,-147.02612,23.7034,26.0667,36.4576,40.3699
2,62.797,-145.04337,23.3123,26.4551,35.6178,31.8692
2,62.79713,-145.99609,30.6276,33.3919,49.272,47.1963
2,62.7972,-148.28885,16.3778,19.3413,19.7901,21.122
2,62.79771,-147.65744,16.5757,19.9489,32.9174,28.3887
2,62.79796,-145.51973,24.876,27.2622,37.1964,35.793
2,62.79977,-146.54987,24.2861,25.5862,36.7797,37.4902
2,62.79997,-147.10367,18.6799,20.8293,28.2756,29.6245
2,62.80067,-144.6441,19.945,22.5311,27.9727,25.6042
2,62.80136,-148.36664,16.7714,19.7622,21.3738,22.6517
2,62.80226,-147.73514,18.2889,22.4703,35.2555,30.8291
2,62.8027,-146.07346,25.9154,28.1056,41.3179,39.8992
2,62.80318,-145.12051,22.8804,26.0551,34.8264,33.2352
2,62.80383,-145.59698,22.6077,24.6519,32.4749,32.2764
2,62.80486,-147.18127,18.1958,21.5404,28.0434,28.3077
2,62.80501,-146.62735,26.7136,27.9642,41.5562,41.9147
2,62.80547,-148.44446,17.78,20.4576,22.0564,23.7237
2,62.80677,-147.81285,17.1883,20.2484,25.0181,25.4418
2,62.80709,-144.72116,23.0927,26.1263,31.9282,29.7946
2,62.80824,-146.15085,28.746,29.2417,44.8746,42.7517
2,62.80929,-145.19771,23.5765,27.6406,36.0468,37.8294
2,62.80954,-148.52228,19.0527,21.1767,22.2465,24.0447
2,62.80966,-145.67429,27.6224,29.2749,37.5349,38.3666
2,62.80971,-147.2589,20.2561,22.9585,34.7354,31.3229
2,62.8102,-146.70486,24.3547,25.8736,41.0062,39.9523
2,62.81122,-147.89059,15.4053,18.1094,19.0127,20.7565
2,62.81345,-144.79828,22.0833,24.6383,30.8206,29.3765
2,62.81355,-148.60016,20.3858,22.2028,21.6758,24.4756
2,62.81372,-146.22829,32.7251,33.2898,50.5413,50.8017
2,62.81451,-147.33655,21.6781,23.8381,40.1769,36.3888
