lat,lon,prec_idf_in
64.22838,-144.88283,2.509
65.38499,-147.1732,2.806
64.03572,-147.23177,2.724
63.0264,-145.18753,3.278
63.36603,-147.69194,2.398
64.86224,-146.10659,2.781
62.77942,-147.73412,3.11
64.43882,-147.89695,2.34
65.22958,-145.70516,2.69
62.96174,-148.63803,4.039
62.81455,-146.82605,2.42
63.09599,-148.78702,4.032
63.85189,-144.81025,2.493
64.51035,-147.78857,2.304
64.1257,-146.1165,2.378
64.12763,-147.86259,2.832
62.82426,-145.3255,2.634
64.65373,-148.05261,2.173
64.39338,-145.95556,2.564
65.03083,-144.94144,2.822
63.10026,-147.95944,2.94
64.36772,-146.69777,2.587
63.63464,-147.58945,3.643
65.41934,-148.52916,2.45
63.27725,-146.43685,3.769
63.32261,-144.8107,4.364
63.84605,-145.21706,2.393
65.26479,-146.11841,2.54
65.5222,-147.999,2.485
65.49771,-145.08161,2.585
63.571,-147.84773,3.098
62.92935,-147.90014,3.2
65.33979,-145.86618,2.695
63.21905,-144.9681,4.363
64.09531,-147.72012,2.928
63.15439,-145.0182,3.713
63.15123,-147.06461,3.111
63.16763,-144.7419,4.117
64.85641,-147.20119,2.368
65.11176,-145.96641,2.694
64.54725,-148.46915,2.271
64.05384,-144.96899,2.379
64.8469,-146.97055,2.521
64.88207,-146.68632,2.491
65.03259,-147.07863,2.629
65.19642,-145.32092,2.51
63.94181,-145.04749,2.294
64.14253,-145.6727,2.412
62.87603,-146.86522,2.329
64.26459,-146.54912,2.434
65.02275,-147.30579,2.891
63.35886,-145.01787,5.062
63.69116,-147.39067,4.22
63.18881,-144.81498,4.105
64.79977,-147.5982,2.159
63.81736,-146.19588,2.53
65.22892,-148.05909,3.142
63.4951,-144.69865,3.968
65.13546,-146.84551,2.737
63.43506,-146.79465,4.115
62.85083,-148.27087,2.756
65.54438,-146.68147,2.966
64.7121,-145.08501,2.776
65.39842,-145.51703,2.469
64.66659,-147.78307,2.199
63.36144,-146.20902,4.895
62.90129,-144.93266,2.909
63.09261,-145.84217,3.499
64.83039,-147.52371,2.206
65.42653,-148.54051,2.316
63.09402,-148.15842,3.131
63.71568,-146.93605,3.556
63.43349,-144.6624,4.301
63.15005,-147.75352,2.931
63.40411,-147.30587,2.837
65.54904,-145.39805,2.355
64.62543,-144.63476,2.988
64.07175,-146.39126,2.432
63.29124,-147.77026,2.33
63.58393,-146.14846,4.992
63.5742,-148.55511,3.248
63.93519,-145.5708,2.394
64.77946,-147.78469,2.113
64.99489,-147.143,2.728
64.14543,-148.67452,2.838
63.76363,-146.16719,2.538
65.48577,-145.88724,2.75
63.4918,-145.58508,6.496
64.267,-144.77289,2.582
63.44693,-145.52411,5.806
62.96356,-145.71376,2.72
65.03814,-145.30932,2.457
64.43875,-145.78439,2.792
64.46335,-148.58202,2.392
63.69502,-146.1179,3.071
64.78172,-146.1808,2.638
62.92032,-144.59859,2.96
62.81965,-148.41019,2.908
64.61687,-146.41813,2.653
64.50374,-148.40287,2.313
63.22467,-144.68138,4.702
62.85312,-145.81426,2.63
65.13705,-146.9932,2.789
62.81892,-145.67837,2.344
63.90706,-146.2054,2.43
64.82636,-145.03279,2.751
64.05614,-146.48617,2.46
65.17523,-148.3678,2.434
64.72219,-148.32591,2.431
64.45605,-144.70579,2.621
65.36378,-147.48325,2.775
63.49631,-145.98139,5.047
63.60255,-145.66741,4.512
63.20672,-145.42796,4.127
62.76462,-147.71332,2.852
64.97459,-145.00462,2.936
63.20675,-144.74822,4.519
64.39806,-146.43409,2.622
65.03432,-147.90589,2.187
65.58441,-146.44838,3.018
62.79417,-146.57128,2.411
64.36398,-146.40874,2.665
62.90565,-145.36569,2.402
64.95915,-145.578,2.061
65.27157,-145.93519,2.575
63.92199,-147.49014,3.114
65.33277,-148.31901,2.074
63.97699,-144.56439,2.552
63.41735,-145.25568,5.536
64.48036,-148.0072,2.325
63.57528,-147.76051,3.201
65.03034,-145.53697,2.316
63.04893,-146.14658,2.995
64.86733,-147.65184,2.207
63.15255,-144.72207,4.038
65.37189,-145.50255,2.554
65.08598,-146.91672,2.608
64.88755,-145.73748,2.693
63.60574,-146.47917,5.271
63.96554,-148.28586,3.044
65.19934,-148.42995,2.045
62.7166,-145.96953,2.221
64.99452,-146.29943,2.68
65.05674,-146.29458,2.83
63.68064,-148.47729,2.783
65.08628,-147.18346,2.778
63.39047,-146.36394,5.239
64.982,-145.0151,2.927
63.24552,-147.24309,3.144
