lat,lon,prec_idf_in
64.22838,-144.88283,2.868
65.38499,-147.1732,3.255
64.03572,-147.23177,3.166
63.0264,-145.18753,3.833
63.36603,-147.69194,2.818
64.86224,-146.10659,3.21
62.77942,-147.73412,3.553
64.43882,-147.89695,2.644
65.22958,-145.70516,3.156
62.96174,-148.63803,4.657
62.81455,-146.82605,2.711
63.09599,-148.78702,4.648
63.85189,-144.81025,2.811
64.51035,-147.78857,2.599
64.1257,-146.1165,2.696
64.12763,-147.86259,3.274
62.82426,-145.3255,3.02
64.65373,-148.05261,2.431
64.39338,-145.95556,2.949
65.03083,-144.94144,3.287
63.10026,-147.95944,3.407
64.36772,-146.69777,2.978
63.63464,-147.58945,4.278
65.41934,-148.52916,2.799
63.27725,-146.43685,4.332
63.32261,-144.8107,5.165
63.84605,-145.21706,2.727
65.26479,-146.11841,2.979
65.5222,-147.999,2.853
65.49771,-145.08161,2.996
63.571,-147.84773,3.609
62.92935,-147.90014,3.68
65.33979,-145.86618,3.156
63.21905,-144.9681,5.179
64.09531,-147.72012,3.408
63.15439,-145.0182,4.37
63.15123,-147.06461,3.606
63.16763,-144.7419,4.931
64.85641,-147.20119,2.702
65.11176,-145.96641,3.18
64.54725,-148.46915,2.553
64.05384,-144.96899,2.701
64.8469,-146.97055,2.918
64.88207,-146.68632,2.857
65.03259,-147.07863,3.047
65.19642,-145.32092,2.899
63.94181,-145.04749,2.612
64.14253,-145.6727,2.746
62.87603,-146.86522,2.598
64.26459,-146.54912,2.773
65.02275,-147.30579,3.462
63.35886,-145.01787,6.015
63.69116,-147.39067,4.979
63.18881,-144.81498,4.879
64.79977,-147.5982,2.386
63.81736,-146.19588,2.891
65.22892,-148.05909,3.688
63.4951,-144.69865,4.642
65.13546,-146.84551,3.107
63.43506,-146.79465,4.772
62.85083,-148.27087,3.119
65.54438,-146.68147,3.468
64.7121,-145.08501,3.246
65.39842,-145.51703,2.847
64.66659,-147.78307,2.456
63.36144,-146.20902,5.608
62.90129,-144.93266,3.386
63.09261,-145.84217,4.066
64.83039,-147.52371,2.457
65.42653,-148.54051,2.636
63.09402,-148.15842,3.608
63.71568,-146.93605,4.11
63.43349,-144.6624,5.076
63.15005,-147.75352,3.463
63.40411,-147.30587,3.323
65.54904,-145.39805,2.695
64.62543,-144.63476,3.525
64.07175,-146.39126,2.765
63.29124,-147.77026,2.712
63.58393,-146.14846,5.702
63.5742,-148.55511,3.708
63.93519,-145.5708,2.715
64.77946,-147.78469,2.334
64.99489,-147.143,3.204
64.14543,-148.67452,3.211
63.76363,-146.16719,2.899
65.48577,-145.88724,3.21
63.4918,-145.58508,7.434
64.267,-144.77289,2.966
63.44693,-145.52411,6.69
62.96356,-145.71376,3.124
65.03814,-145.30932,2.836
64.43875,-145.78439,3.259
64.46335,-148.58202,2.69
63.69502,-146.1179,3.482
64.78172,-146.1808,3.026
62.92032,-144.59859,3.512
62.81965,-148.41019,3.301
64.61687,-146.41813,3.071
64.50374,-148.40287,2.601
63.22467,-144.68138,5.658
62.85312,-145.81426,3.003
65.13705,-146.9932,3.205
62.81892,-145.67837,2.648
63.90706,-146.2054,2.759
64.82636,-145.03279,3.212
64.05614,-146.48617,2.803
65.17523,-148.3678,2.785
