lat,lon,prec_idf_in
64.22838,-144.88283,4.434
65.38499,-147.1732,5.24
64.03572,-147.23177,5.246
63.0264,-145.18753,5.806
63.36603,-147.69194,4.514
64.86224,-146.10659,4.792
62.77942,-147.73412,5.404
64.43882,-147.89695,4.664
65.22958,-145.70516,4.844
62.96174,-148.63803,7.254
62.81455,-146.82605,4.167
63.09599,-148.78702,7.223
63.85189,-144.81025,4.245
64.51035,-147.78857,4.583
64.1257,-146.1165,4.235
64.12763,-147.86259,5.74
62.82426,-145.3255,4.532
64.65373,-148.05261,4.253
64.39338,-145.95556,4.738
65.03083,-144.94144,4.93
63.10026,-147.95944,5.374
64.36772,-146.69777,5.007
63.63464,-147.58945,6.797
65.41934,-148.52916,4.708
63.27725,-146.43685,6.671
63.32261,-144.8107,7.919
63.84605,-145.21706,4.157
65.26479,-146.11841,4.59
65.5222,-147.999,4.729
65.49771,-145.08161,5.032
63.571,-147.84773,5.784
62.92935,-147.90014,5.688
65.33979,-145.86618,4.869
63.21905,-144.9681,7.964
64.09531,-147.72012,5.888
63.15439,-145.0182,6.701
63.15123,-147.06461,5.64
63.16763,-144.7419,7.525
64.85641,-147.20119,4.686
65.11176,-145.96641,4.867
64.54725,-148.46915,4.57
64.05384,-144.96899,4.115
64.8469,-146.97055,4.955
64.88207,-146.68632,4.727
65.03259,-147.07863,5.055
65.19642,-145.32092,4.46
63.94181,-145.04749,3.944
64.14253,-145.6727,4.26
62.87603,-146.86522,3.985
64.26459,-146.54912,4.55
65.02275,-147.30579,5.689
63.35886,-145.01787,9.293
63.69116,-147.39067,7.946
63.18881,-144.81498,7.458
64.79977,-147.5982,4.162
63.81736,-146.19588,4.479
65.22892,-148.05909,6.216
63.4951,-144.69865,7.015
65.13546,-146.84551,4.946
63.43506,-146.79465,7.406
62.85083,-148.27087,4.83
65.54438,-146.68147,5.512
64.7121,-145.08501,4.99
65.39842,-145.51703,4.518
64.66659,-147.78307,4.295
63.36144,-146.20902,8.599
62.90129,-144.93266,5.105
63.09261,-145.84217,6.187
64.83039,-147.52371,4.287
65.42653,-148.54051,4.447
63.09402,-148.15842,5.662
63.71568,-146.93605,6.429
63.43349,-144.6624,7.688
63.15005,-147.75352,5.507
63.40411,-147.30587,5.286
65.54904,-145.39805,4.442
64.62543,-144.63476,5.412
64.07175,-146.39126,4.381
63.29124,-147.77026,4.346
63.58393,-146.14846,8.757
63.5742,-148.55511,5.851
63.93519,-145.5708,4.196
64.77946,-147.78469,4.075
64.99489,-147.143,5.347
64.14543,-148.67452,5.638
63.76363,-146.16719,4.484
65.48577,-145.88724,5.089
63.4918,-145.58508,11.314
64.267,-144.77289,4.583
63.44693,-145.52411,10.217
62.96356,-145.71376,4.714
65.03814,-145.30932,4.298
64.43875,-145.78439,5.222
64.46335,-148.58202,4.909
63.69502,-146.1179,5.363
64.78172,-146.1808,4.594
62.92032,-144.59859,5.389
62.81965,-148.41019,5.151
64.61687,-146.41813,5.115
64.50374,-148.40287,4.684
63.22467,-144.68138,8.742
62.85312,-145.81426,4.522
65.13705,-146.9932,5.139
62.81892,-145.67837,3.982
63.90706,-146.2054,4.285
64.82636,-145.03279,4.892
64.05614,-146.48617,4.459
65.17523,-148.3678,4.73
64.72219,-148.32591,4.961
64.45605,-144.70579,4.71
65.36378,-147.48325,5.296
63.49631,-145.98139,8.729
63.60255,-145.66741,7.864
63.20672,-145.42796,7.781
62.76462,-147.71332,4.908
64.97459,-145.00462,5.214
63.20675,-144.74822,8.272
64.39806,-146.43409,4.99
65.03432,-147.90589,4.17
65.58441,-146.44838,5.598
62.79417,-146.57128,4.14
64.36398,-146.40874,5.074
62.90565,-145.36569,4.103
64.95915,-145.578,3.534
65.27157,-145.93519,4.618
63.92199,-147.49014,5.841
65.33277,-148.31901,3.947
63.97699,-144.56439,4.3
63.41735,-145.25568,10.138
64.48036,-148.0072,4.63
63.57528,-147.76051,6.006
65.03034,-145.53697,4.04
63.04893,-146.14658,5.24
64.86733,-147.65184,4.272
63.15255,-144.72207,7.394
65.37189,-145.50255,4.674
65.08598,-146.91672,4.789
64.88755,-145.73748,4.804
63.60574,-146.47917,9.429
63.96554,-148.28586,5.775
65.19934,-148.42995,3.918
62.7166,-145.96953,3.742
64.99452,-146.29943,4.771
65.05674,-146.29458,5.156
63.68064,-148.47729,4.98
65.08628,-147.18346,5.349
63.39047,-146.36394,9.272
64.982,-145.0151,5.187
63.24552,-147.24309,5.891
63.04081,-147.4836,4.229
64.36496,-148.74455,5.342
62.69634,-148.11981,6.532
63.43177,-148.11244,5.229
63.23189,-145.59825,6.724
63.87162,-147.88731,5.193
63.49226,-144.78598,6.511
64.91,-148.54228,6.012
63.81665,-146.86999,5.541
63.72201,-147.31824,7.68
64.20047,-147.04636,4.864
63.77403,-145.37242,6.067
64.15639,-146.2302,4.325
63.59441,-145.24306,7.984
65.23972,-147.22089,4.99
63.91094,-146.304,4.332
65.11881,-145.66455,5.162
63.63243,-148.57069,5.151
63.22936,-144.77802,8.664
65.3545,-147.51798,5.347
63.25689,-145.76876,6.198
63.46552,-146.9068,7.541
64.38889,-147.63143,4.897
65.06573,-144.56259,5.593
65.5031,-147.99384,4.79
63.38303,-146.35364,9.244
64.85075,-148.08655,4.89
64.4345,-147.31759,4.918
64.02029,-144.55356,4.373
64.78262,-147.01933,4.839
63.62831,-148.11839,5.529
64.45769,-148.30892,4.76
63.74207,-147.39385,7.208
64.72055,-146.83185,5.187
64.01168,-144.70352,4.242
64.88791,-145.61886,4.759
64.66791,-147.32873,4.417
63.64222,-148.60873,4.926
64.75344,-147.50451,4.235
62.74557,-147.20815,3.788
64.69822,-148.33762,4.541
62.82724,-146.16346,4.091
64.09013,-146.32366,4.381
64.7317,-146.56141,5.094
63.14881,-146.30579,6.759
64.55161,-146.39495,4.843
63.39798,-146.74271,7.959
65.32247,-147.71364,5.531
63.16177,-146.91869,5.743
63.30122,-147.80774,4.38
64.43848,-145.24345,4.641
63.34974,-145.27878,9.788
65.29243,-145.89335,4.596
65.08403,-144.85002,4.992
63.22773,-145.91159,6.191
63.97065,-147.86767,5.616
63.81825,-147.5274,6.416
63.58282,-146.07774,7.982
64.53318,-144.60135,4.96
64.43999,-148.11424,4.793
63.283,-148.61833,6.098
64.1508,-144.86957,4.472
63.05162,-145.46967,4.757
63.92544,-147.33064,5.518
62.7213,-146.78889,4.039
65.49795,-146.58699,5.623
64.42883,-145.62919,4.882
62.93901,-146.13356,4.448
65.14075,-147.70351,5.2
64.89554,-147.28383,4.857
65.26568,-148.26338,4.237
64.56768,-144.74267,5.694
63.74928,-146.7044,6.092
63.26236,-146.41629,6.5
64.56813,-147.46775,4.596
63.58052,-145.93632,5.52
64.13503,-147.54183,5.469
64.7218,-145.59551,5.267
64.16128,-144.90712,4.4
63.831,-144.85106,4.23
65.09462,-147.60877,4.864
65.3863,-145.64428,4.638
63.37943,-148.36278,4.994
63.74056,-146.99477,5.628
65.26034,-148.13233,4.768
63.93682,-147.25316,5.207
63.62708,-146.6249,9.043
65.08441,-146.57625,5.289
63.86049,-148.79259,5.235
64.93927,-147.34947,5.183
63.62446,-148.34737,5.584
63.73935,-147.10966,6.298
65.45483,-144.85112,5.181
65.59045,-148.35388,4.349
63.92805,-147.09971,5.018
64.49997,-147.67729,4.674
63.36383,-146.05181,9.543
64.93662,-147.99946,4.238
64.04968,-147.4406,5.377
62.78854,-148.61857,5.354
65.18189,-148.23111,5.141
63.03753,-147.38715,4.503
63.23546,-144.83133,8.416
62.70143,-146.9656,3.832
63.02176,-145.31683,4.733
62.75509,-147.74561,4.54
64.98787,-146.16974,4.609
64.09209,-148.57021,5.686
62.74429,-147.95893,4.846
63.22384,-147.02842,6.251
65.58518,-145.6938,4.58
64.01999,-148.74741,5.336
64.69679,-146.46277,4.986
64.17661,-147.98271,5.487
63.89952,-147.71622,6.332
63.39891,-146.44462,9.27
63.67647,-148.77748,4.743
63.58907,-146.68729,8.763
65.08794,-148.08575,4.819
64.62424,-148.49031,4.502
64.16938,-148.59132,5.807
65.23264,-146.04699,4.511
65.26096,-145.5823,4.57
65.16251,-144.93741,5.153
64.99731,-145.70453,4.015
65.4744,-145.77344,5.009
63.35038,-148.39036,5.644
63.8187,-146.63971,6.226
65.18042,-148.49856,3.932
62.96446,-146.91905,4.204
65.59137,-147.31747,5.922
65.48593,-147.25385,5.887
64.16676,-144.61301,4.339
64.07602,-144.76767,4.341
63.13984,-146.04271,6.978
63.34643,-144.68344,6.717
63.84503,-147.02734,4.801
64.44655,-145.67771,5.197
65.33388,-145.25473,4.91
64.31573,-147.85644,4.967
63.08365,-145.12791,6.426
63.98687,-146.73876,4.956
64.90743,-146.24406,4.585
63.2169,-146.65135,6.518
64.99524,-148.23543,5.108
64.60807,-148.80407,4.981
64.80334,-144.52812,4.505
64.70489,-148.20276,4.158
65.40205,-147.49298,5.348
62.9974,-148.3429,6.133
65.56029,-148.65359,3.693
63.07305,-147.55208,4.316
63.06407,-145.0117,5.974
65.20377,-146.19758,4.485
65.49428,-146.67915,5.592
63.93664,-147.84129,5.316
63.28039,-147.08479,5.79
65.20323,-146.51091,5.213
65.01079,-145.65225,4.036
64.08109,-146.54514,4.528
65.18791,-145.78887,4.917
65.1031,-144.73405,5.492
63.6416,-148.39611,5.55
62.92931,-145.57757,3.767
63.91156,-148.11123,6.424
64.37803,-146.0515,4.679
65.14626,-146.95854,5.189
