lat,lon,prec_idf_in
64.22838,-144.88283,5.681
65.38499,-147.1732,6.952
64.03572,-147.23177,7.146
63.0264,-145.18753,7.433
63.36603,-147.69194,6.024
64.86224,-146.10659,5.914
62.77942,-147.73412,6.888
64.43882,-147.89695,6.674
65.22958,-145.70516,6.128
62.96174,-148.63803,9.408
62.81455,-146.82605,5.377
63.09599,-148.78702,9.332
63.85189,-144.81025,5.324
64.51035,-147.78857,6.557
64.1257,-146.1165,5.499
64.12763,-147.86259,8.198
62.82426,-145.3255,5.751
64.65373,-148.05261,6.033
64.39338,-145.95556,6.265
65.03083,-144.94144,6.108
63.10026,-147.95944,7.066
64.36772,-146.69777,6.889
63.63464,-147.58945,8.96
65.41934,-148.52916,6.526
63.27725,-146.43685,8.609
63.32261,-144.8107,10.186
63.84605,-145.21706,5.254
65.26479,-146.11841,5.833
65.5222,-147.999,6.453
65.49771,-145.08161,6.944
63.571,-147.84773,7.686
62.92935,-147.90014,7.35
65.33979,-145.86618,6.195
63.21905,-144.9681,10.313
64.09531,-147.72012,8.294
63.15439,-145.0182,8.667
63.15123,-147.06461,7.39
63.16763,-144.7419,9.671
64.85641,-147.20119,6.645
65.11176,-145.96641,6.132
64.54725,-148.46915,6.635
64.05384,-144.96899,5.201
64.8469,-146.97055,6.882
64.88207,-146.68632,6.435
65.03259,-147.07863,6.893
65.19642,-145.32092,5.665
63.94181,-145.04749,4.943
64.14253,-145.6727,5.471
62.87603,-146.86522,5.136
64.26459,-146.54912,6.128
65.02275,-147.30579,7.662
63.35886,-145.01787,12.048
63.69116,-147.39067,10.508
63.18881,-144.81498,9.601
64.79977,-147.5982,5.928
63.81736,-146.19588,5.748
65.22892,-148.05909,8.606
63.4951,-144.69865,8.83
65.13546,-146.84551,6.48
63.43506,-146.79465,9.608
62.85083,-148.27087,6.247
65.54438,-146.68147,7.224
64.7121,-145.08501,6.329
65.39842,-145.51703,5.916
64.66659,-147.78307,6.083
63.36144,-146.20902,11.036
62.90129,-144.93266,6.504
63.09261,-145.84217,7.948
64.83039,-147.52371,6.114
65.42653,-148.54051,6.179
63.09402,-148.15842,7.402
63.71568,-146.93605,8.338
63.43349,-144.6624,9.721
63.15005,-147.75352,7.301
63.40411,-147.30587,7.009
65.54904,-145.39805,6.031
64.62543,-144.63476,6.867
64.07175,-146.39126,5.731
63.29124,-147.77026,5.803
63.58393,-146.14846,11.189
63.5742,-148.55511,7.657
63.93519,-145.5708,5.371
64.77946,-147.78469,5.729
64.99489,-147.143,7.323
64.14543,-148.67452,8.04
63.76363,-146.16719,5.746
65.48577,-145.88724,6.654
63.4918,-145.58508,14.381
64.267,-144.77289,5.867
63.44693,-145.52411,13.042
62.96356,-145.71376,6.016
65.03814,-145.30932,5.372
64.43875,-145.78439,6.888
64.46335,-148.58202,7.241
63.69502,-146.1179,6.859
64.78172,-146.1808,5.765
62.92032,-144.59859,6.967
62.81965,-148.41019,6.702
64.61687,-146.41813,6.974
64.50374,-148.40287,6.827
63.22467,-144.68138,11.335
62.85312,-145.81426,5.754
65.13705,-146.9932,6.793
62.81892,-145.67837,5.063
63.90706,-146.2054,5.51
64.82636,-145.03279,6.145
64.05614,-146.48617,5.851
65.17523,-148.3678,6.562
64.72219,-148.32591,7.24
64.45605,-144.70579,6.065
65.36378,-147.48325,7.186
63.49631,-145.98139,11.091
63.60255,-145.66741,10.012
63.20672,-145.42796,10.341
62.76462,-147.71332,6.247
64.97459,-145.00462,6.521
63.20675,-144.74822,10.633
64.39806,-146.43409,6.743
65.03432,-147.90589,5.761
65.58441,-146.44838,7.305
62.79417,-146.57128,5.365
64.36398,-146.40874,6.839
62.90565,-145.36569,5.219
64.95915,-145.578,4.378
65.27157,-145.93519,5.855
63.92199,-147.49014,7.83
65.33277,-148.31901,5.455
63.97699,-144.56439,5.386
63.41735,-145.25568,13.16
64.48036,-148.0072,6.626
63.57528,-147.76051,7.99
65.03034,-145.53697,5.04
63.04893,-146.14658,6.746
64.86733,-147.65184,6.042
63.15255,-144.72207,9.503
65.37189,-145.50255,6.095
65.08598,-146.91672,6.335
64.88755,-145.73748,6.03
63.60574,-146.47917,12.142
63.96554,-148.28586,7.904
65.19934,-148.42995,5.437
62.7166,-145.96953,4.739
64.99452,-146.29943,6.155
65.05674,-146.29458,6.659
63.68064,-148.47729,6.53
65.08628,-147.18346,7.244
63.39047,-146.36394,11.922
64.982,-145.0151,6.477
63.24552,-147.24309,7.789
63.04081,-147.4836,5.534
64.36496,-148.74455,7.956
62.69634,-148.11981,8.321
63.43177,-148.11244,6.911
63.23189,-145.59825,8.873
63.87162,-147.88731,7.045
63.49226,-144.78598,8.216
64.91,-148.54228,8.425
63.81665,-146.86999,7.256
63.72201,-147.31824,10.149
64.20047,-147.04636,6.675
63.77403,-145.37242,7.703
64.15639,-146.2302,5.67
63.59441,-145.24306,10.145
65.23972,-147.22089,6.431
63.91094,-146.304,5.575
65.11881,-145.66455,6.46
63.63243,-148.57069,6.694
63.22936,-144.77802,11.24
65.3545,-147.51798,7.273
63.25689,-145.76876,8.047
63.46552,-146.9068,9.834
64.38889,-147.63143,7.008
65.06573,-144.56259,7.122
65.5031,-147.99384,6.539
63.38303,-146.35364,11.882
64.85075,-148.08655,6.849
64.4345,-147.31759,6.981
64.02029,-144.55356,5.493
64.78262,-147.01933,6.872
63.62831,-148.11839,7.36
64.45769,-148.30892,6.928
63.74207,-147.39385,9.529
64.72055,-146.83185,7.413
64.01168,-144.70352,5.34
64.88791,-145.61886,5.935
64.66791,-147.32873,6.394
63.64222,-148.60873,6.377
64.75344,-147.50451,6.045
62.74557,-147.20815,4.807
64.69822,-148.33762,6.602
62.82724,-146.16346,5.232
64.09013,-146.32366,5.726
64.7317,-146.56141,6.934
63.14881,-146.30579,8.715
64.55161,-146.39495,6.616
63.39798,-146.74271,10.318
65.32247,-147.71364,7.587
63.16177,-146.91869,7.489
63.30122,-147.80774,5.842
64.43848,-145.24345,6.037
63.34974,-145.27878,12.896
65.29243,-145.89335,5.823
65.08403,-144.85002,6.167
63.22773,-145.91159,7.985
63.97065,-147.86767,7.802
63.81825,-147.5274,8.491
63.58282,-146.07774,10.193
64.53318,-144.60135,6.347
64.43999,-148.11424,6.943
63.283,-148.61833,8.019
64.1508,-144.86957,5.706
63.05162,-145.46967,6.094
63.92544,-147.33064,7.398
62.7213,-146.78889,5.217
65.49795,-146.58699,7.321
64.42883,-145.62919,6.381
62.93901,-146.13356,5.702
65.14075,-147.70351,7.25
64.89554,-147.28383,6.865
65.26568,-148.26338,5.89
64.56768,-144.74267,7.278
63.74928,-146.7044,7.878
63.26236,-146.41629,8.389
64.56813,-147.46775,6.593
