lat,lon,prec_idf_in
64.22838,-144.88283,2.413
65.38499,-147.1732,2.757
64.03572,-147.23177,2.609
63.0264,-145.18753,3.001
63.36603,-147.69194,2.193
64.86224,-146.10659,2.713
62.77942,-147.73412,2.948
64.43882,-147.89695,2.42
65.22958,-145.70516,2.563
62.96174,-148.63803,3.843
62.81455,-146.82605,2.387
63.09599,-148.78702,3.849
63.85189,-144.81025,2.448
64.51035,-147.78857,2.392
64.1257,-146.1165,2.316
64.12763,-147.86259,2.808
62.82426,-145.3255,2.496
64.65373,-148.05261,2.284
64.39338,-145.95556,2.477
65.03083,-144.94144,2.733
63.10026,-147.95944,2.752
64.36772,-146.69777,2.543
63.63464,-147.58945,3.322
65.41934,-148.52916,2.448
63.27725,-146.43685,3.515
63.32261,-144.8107,3.882
63.84605,-145.21706,2.311
65.26479,-146.11841,2.435
65.5222,-147.999,2.472
65.49771,-145.08161,2.547
63.571,-147.84773,2.888
62.92935,-147.90014,3.022
65.33979,-145.86618,2.577
63.21905,-144.9681,3.857
64.09531,-147.72012,2.855
63.15439,-145.0182,3.345
63.15123,-147.06461,2.883
63.16763,-144.7419,3.597
64.85641,-147.20119,2.414
65.11176,-145.96641,2.546
64.54725,-148.46915,2.368
64.05384,-144.96899,2.309
64.8469,-146.97055,2.512
64.88207,-146.68632,2.496
65.03259,-147.07863,2.602
65.19642,-145.32092,2.452
63.94181,-145.04749,2.215
64.14253,-145.6727,2.338
62.87603,-146.86522,2.313
64.26459,-146.54912,2.382
65.02275,-147.30579,2.732
63.35886,-145.01787,4.45
63.69116,-147.39067,3.805
63.18881,-144.81498,3.628
64.79977,-147.5982,2.312
63.81736,-146.19588,2.426
65.22892,-148.05909,3.037
63.4951,-144.69865,3.604
65.13546,-146.84551,2.748
63.43506,-146.79465,3.765
62.85083,-148.27087,2.701
65.54438,-146.68147,2.861
64.7121,-145.08501,2.636
65.39842,-145.51703,2.427
64.66659,-147.78307,2.317
63.36144,-146.20902,4.557
62.90129,-144.93266,2.688
63.09261,-145.84217,3.226
64.83039,-147.52371,2.338
65.42653,-148.54051,2.328
63.09402,-148.15842,2.969
63.71568,-146.93605,3.294
63.43349,-144.6624,3.843
63.15005,-147.75352,2.644
63.40411,-147.30587,2.593
65.54904,-145.39805,2.362
64.62543,-144.63476,2.789
64.07175,-146.39126,2.365
63.29124,-147.77026,2.154
63.58393,-146.14846,4.667
63.5742,-148.55511,3.181
63.93519,-145.5708,2.327
64.77946,-147.78469,2.268
64.99489,-147.143,2.656
64.14543,-148.67452,2.898
63.76363,-146.16719,2.434
65.48577,-145.88724,2.655
63.4918,-145.58508,6.026
64.267,-144.77289,2.466
63.44693,-145.52411,5.333
62.96356,-145.71376,2.577
65.03814,-145.30932,2.38
64.43875,-145.78439,2.645
64.46335,-148.58202,2.494
63.69502,-146.1179,2.946
64.78172,-146.1808,2.6
62.92032,-144.59859,2.675
62.81965,-148.41019,2.846
64.61687,-146.41813,2.609
64.50374,-148.40287,2.413
63.22467,-144.68138,4.073
62.85312,-145.81426,2.51
65.13705,-146.9932,2.773
62.81892,-145.67837,2.282
63.90706,-146.2054,2.358
64.82636,-145.03279,2.622
64.05614,-146.48617,2.389
65.17523,-148.3678,2.444
64.72219,-148.32591,2.488
64.45605,-144.70579,2.496
65.36378,-147.48325,2.739
63.49631,-145.98139,4.763
63.60255,-145.66741,4.248
63.20672,-145.42796,3.616
62.76462,-147.71332,2.743
64.97459,-145.00462,2.805
63.20675,-144.74822,3.925
64.39806,-146.43409,2.534
65.03432,-147.90589,2.263
65.58441,-146.44838,2.889
62.79417,-146.57128,2.408
64.36398,-146.40874,2.554
62.90565,-145.36569,2.319
64.95915,-145.578,2.002
65.27157,-145.93519,2.48
63.92199,-147.49014,2.96
65.33277,-148.31901,2.112
63.97699,-144.56439,2.541
63.41735,-145.25568,4.883
64.48036,-148.0072,2.408
63.57528,-147.76051,2.954
65.03034,-145.53697,2.238
63.04893,-146.14658,2.835
64.86733,-147.65184,2.325
63.15255,-144.72207,3.523
65.37189,-145.50255,2.491
65.08598,-146.91672,2.607
64.88755,-145.73748,2.547
63.60574,-146.47917,4.828
63.96554,-148.28586,3.012
65.19934,-148.42995,2.103
62.7166,-145.96953,2.192
64.99452,-146.29943,2.663
65.05674,-146.29458,2.729
63.68064,-148.47729,2.768
65.08628,-147.18346,2.713
63.39047,-146.36394,4.826
64.982,-145.0151,2.801
63.24552,-147.24309,2.814
63.04081,-147.4836,2.313
64.36496,-148.74455,2.69
62.69634,-148.11981,3.524
63.43177,-148.11244,2.692
63.23189,-145.59825,3.294
63.87162,-147.88731,2.715
63.49226,-144.78598,3.404
64.91,-148.54228,2.892
63.81665,-146.86999,2.886
63.72201,-147.31824,3.728
64.20047,-147.04636,2.493
63.77403,-145.37242,3.245
64.15639,-146.2302,2.337
63.59441,-145.24306,4.155
65.23972,-147.22089,2.701
63.91094,-146.304,2.371
65.11881,-145.66455,2.64
63.63243,-148.57069,2.879
63.22936,-144.77802,4.092
65.3545,-147.51798,2.755
63.25689,-145.76876,3.233
63.46552,-146.9068,3.752
64.38889,-147.63143,2.502
65.06573,-144.56259,2.945
65.5031,-147.99384,2.497
63.38303,-146.35364,4.817
64.85075,-148.08655,2.521
64.4345,-147.31759,2.516
64.02029,-144.55356,2.528
64.78262,-147.01933,2.448
63.62831,-148.11839,2.886
64.45769,-148.30892,2.449
63.74207,-147.39385,3.528
64.72055,-146.83185,2.571
64.01168,-144.70352,2.44
