lat,lon,prec_idf_in
64.22838,-144.88283,3.472
65.38499,-147.1732,4.0
64.03572,-147.23177,3.934
63.0264,-145.18753,4.586
63.36603,-147.69194,3.449
64.86224,-146.10659,3.842
62.77942,-147.73412,4.268
64.43882,-147.89695,3.369
65.22958,-145.70516,3.816
62.96174,-148.63803,5.649
62.81455,-146.82605,3.264
63.09599,-148.78702,5.636
63.85189,-144.81025,3.374
64.51035,-147.78857,3.311
64.1257,-146.1165,3.283
64.12763,-147.86259,4.159
62.82426,-145.3255,3.6
64.65373,-148.05261,3.089
64.39338,-145.95556,3.623
65.03083,-144.94144,3.941
63.10026,-147.95944,4.148
64.36772,-146.69777,3.723
63.63464,-147.58945,5.228
65.41934,-148.52916,3.494
63.27725,-146.43685,5.223
63.32261,-144.8107,6.216
63.84605,-145.21706,3.285
65.26479,-146.11841,3.604
65.5222,-147.999,3.542
65.49771,-145.08161,3.74
63.571,-147.84773,4.424
62.92935,-147.90014,4.447
65.33979,-145.86618,3.822
63.21905,-144.9681,6.234
64.09531,-147.72012,4.306
63.15439,-145.0182,5.254
63.15123,-147.06461,4.371
63.16763,-144.7419,5.921
64.85641,-147.20119,3.416
65.11176,-145.96641,3.842
64.54725,-148.46915,3.27
64.05384,-144.96899,3.253
64.8469,-146.97055,3.659
64.88207,-146.68632,3.547
65.03259,-147.07863,3.787
65.19642,-145.32092,3.508
63.94181,-145.04749,3.136
64.14253,-145.6727,3.328
62.87603,-146.86522,3.127
64.26459,-146.54912,3.435
65.02275,-147.30579,4.29
63.35886,-145.01787,7.259
63.69116,-147.39067,6.096
63.18881,-144.81498,5.861
64.79977,-147.5982,3.022
63.81736,-146.19588,3.504
65.22892,-148.05909,4.61
63.4951,-144.69865,5.57
65.13546,-146.84551,3.805
63.43506,-146.79465,5.773
62.85083,-148.27087,3.773
65.54438,-146.68147,4.243
64.7121,-145.08501,3.926
65.39842,-145.51703,3.482
64.66659,-147.78307,3.121
63.36144,-146.20902,6.754
62.90129,-144.93266,4.045
63.09261,-145.84217,4.874
64.83039,-147.52371,3.113
65.42653,-148.54051,3.294
63.09402,-148.15842,4.385
63.71568,-146.93605,4.996
63.43349,-144.6624,6.092
63.15005,-147.75352,4.228
63.40411,-147.30587,4.058
65.54904,-145.39805,3.341
64.62543,-144.63476,4.26
64.07175,-146.39126,3.379
63.29124,-147.77026,3.321
63.58393,-146.14846,6.881
63.5742,-148.55511,4.521
63.93519,-145.5708,3.287
64.77946,-147.78469,2.968
64.99489,-147.143,3.991
64.14543,-148.67452,4.086
63.76363,-146.16719,3.51
65.48577,-145.88724,3.925
63.4918,-145.58508,8.935
64.267,-144.77289,3.591
63.44693,-145.52411,8.05
62.96356,-145.71376,3.732
65.03814,-145.30932,3.414
64.43875,-145.78439,4.0
64.46335,-148.58202,3.472
63.69502,-146.1179,4.207
64.78172,-146.1808,3.644
62.92032,-144.59859,4.224
62.81965,-148.41019,4.004
64.61687,-146.41813,3.826
64.50374,-148.40287,3.34
63.22467,-144.68138,6.829
62.85312,-145.81426,3.585
65.13705,-146.9932,3.934
62.81892,-145.67837,3.159
63.90706,-146.2054,3.346
64.82636,-145.03279,3.873
64.05614,-146.48617,3.431
65.17523,-148.3678,3.496
64.72219,-148.32591,3.546
64.45605,-144.70579,3.673
65.36378,-147.48325,3.983
63.49631,-145.98139,6.892
63.60255,-145.66741,6.194
63.20672,-145.42796,5.988
62.76462,-147.71332,3.88
64.97459,-145.00462,4.142
63.20675,-144.74822,6.507
64.39806,-146.43409,3.757
65.03432,-147.90589,3.089
65.58441,-146.44838,4.321
62.79417,-146.57128,3.233
64.36398,-146.40874,3.828
62.90565,-145.36569,3.256
64.95915,-145.578,2.824
65.27157,-145.93519,3.631
63.92199,-147.49014,4.436
65.33277,-148.31901,2.932
63.97699,-144.56439,3.422
63.41735,-145.25568,7.912
64.48036,-148.0072,3.343
63.57528,-147.76051,4.593
65.03034,-145.53697,3.212
63.04893,-146.14658,4.118
64.86733,-147.65184,3.115
63.15255,-144.72207,5.817
65.37189,-145.50255,3.612
65.08598,-146.91672,3.66
64.88755,-145.73748,3.805
63.60574,-146.47917,7.368
63.96554,-148.28586,4.323
65.19934,-148.42995,2.894
62.7166,-145.96953,2.974
64.99452,-146.29943,3.709
65.05674,-146.29458,4.005
63.68064,-148.47729,3.842
65.08628,-147.18346,4.026
63.39047,-146.36394,7.273
64.982,-145.0151,4.125
63.24552,-147.24309,4.533
63.04081,-147.4836,3.279
64.36496,-148.74455,3.743
62.69634,-148.11981,5.157
63.43177,-148.11244,4.018
63.23189,-145.59825,5.198
63.87162,-147.88731,3.911
63.49226,-144.78598,5.161
64.91,-148.54228,4.408
63.81665,-146.86999,4.274
63.72201,-147.31824,5.893
64.20047,-147.04636,3.627
63.77403,-145.37242,4.78
64.15639,-146.2302,3.33
63.59441,-145.24306,6.298
65.23972,-147.22089,3.885
63.91094,-146.304,3.38
65.11881,-145.66455,4.094
63.63243,-148.57069,4.0
63.22936,-144.77802,6.766
65.3545,-147.51798,4.015
63.25689,-145.76876,4.84
63.46552,-146.9068,5.856
64.38889,-147.63143,3.538
65.06573,-144.56259,4.395
65.5031,-147.99384,3.587
63.38303,-146.35364,7.252
64.85075,-148.08655,3.578
64.4345,-147.31759,3.574
64.02029,-144.55356,3.47
64.78262,-147.01933,3.525
63.62831,-148.11839,4.224
64.45769,-148.30892,3.397
63.74207,-147.39385,5.528
64.72055,-146.83185,3.764
64.01168,-144.70352,3.363
64.88791,-145.61886,3.786
64.66791,-147.32873,3.172
63.64222,-148.60873,3.832
64.75344,-147.50451,3.069
62.74557,-147.20815,3.004
64.69822,-148.33762,3.254
62.82724,-146.16346,3.229
64.09013,-146.32366,3.38
64.7317,-146.56141,3.823
63.14881,-146.30579,5.304
64.55161,-146.39495,3.616
63.39798,-146.74271,6.209
65.32247,-147.71364,4.13
63.16177,-146.91869,4.467
63.30122,-147.80774,3.35
64.43848,-145.24345,3.595
63.34974,-145.27878,7.57
65.29243,-145.89335,3.615
65.08403,-144.85002,3.999
63.22773,-145.91159,4.856
63.97065,-147.86767,4.159
63.81825,-147.5274,4.915
63.58282,-146.07774,6.275
64.53318,-144.60135,3.883
64.43999,-148.11424,3.43
63.283,-148.61833,4.699
64.1508,-144.86957,3.511
63.05162,-145.46967,3.754
63.92544,-147.33064,4.189
62.7213,-146.78889,3.162
65.49795,-146.58699,4.344
64.42883,-145.62919,3.766
62.93901,-146.13356,3.505
65.14075,-147.70351,3.834
64.89554,-147.28383,3.548
65.26568,-148.26338,3.129
64.56768,-144.74267,4.461
63.74928,-146.7044,4.741
63.26236,-146.41629,5.091
64.56813,-147.46775,3.318
63.58052,-145.93632,4.344
64.13503,-147.54183,3.965
64.7218,-145.59551,4.122
64.16128,-144.90712,3.452
63.831,-144.85106,3.361
65.09462,-147.60877,3.582
65.3863,-145.64428,3.604
63.37943,-148.36278,3.843
63.74056,-146.99477,4.371
65.26034,-148.13233,3.539
63.93682,-147.25316,3.94
63.62708,-146.6249,7.058
65.08441,-146.57625,4.09
63.86049,-148.79259,4.004
64.93927,-147.34947,3.827
63.62446,-148.34737,4.294
63.73935,-147.10966,4.851
65.45483,-144.85112,3.825
65.59045,-148.35388,3.282
63.92805,-147.09971,3.814
64.49997,-147.67729,3.375
63.36383,-146.05181,7.516
64.93662,-147.99946,3.168
64.04968,-147.4406,4.024
62.78854,-148.61857,4.163
65.18189,-148.23111,3.793
63.03753,-147.38715,3.488
63.23546,-144.83133,6.612
62.70143,-146.9656,3.023
63.02176,-145.31683,3.739
62.75509,-147.74561,3.592
64.98787,-146.16974,3.583
64.09209,-148.57021,4.181
62.74429,-147.95893,3.84
63.22384,-147.02842,4.844
65.58518,-145.6938,3.472
64.01999,-148.74741,3.989
64.69679,-146.46277,3.756
64.17661,-147.98271,3.966
63.89952,-147.71622,4.742
63.39891,-146.44462,7.264
63.67647,-148.77748,3.745
63.58907,-146.68729,6.834
65.08794,-148.08575,3.555
64.62424,-148.49031,3.22
64.16938,-148.59132,4.183
65.23264,-146.04699,3.544
65.26096,-145.5823,3.587
