lat,lon,prec_idf_in
64.22838,-144.88283,4.979
65.38499,-147.1732,6.354
64.03572,-147.23177,6.165
63.0264,-145.18753,6.607
63.36603,-147.69194,4.99
64.86224,-146.10659,5.563
62.77942,-147.73412,6.116
64.43882,-147.89695,6.039
65.22958,-145.70516,5.508
62.96174,-148.63803,8.495
62.81455,-146.82605,4.845
63.09599,-148.78702,8.493
63.85189,-144.81025,4.838
64.51035,-147.78857,5.943
64.1257,-146.1165,4.819
64.12763,-147.86259,7.199
62.82426,-145.3255,5.224
64.65373,-148.05261,5.538
64.39338,-145.95556,5.443
65.03083,-144.94144,5.642
63.10026,-147.95944,6.151
64.36772,-146.69777,6.036
63.63464,-147.58945,7.711
65.41934,-148.52916,5.808
63.27725,-146.43685,7.592
63.32261,-144.8107,8.799
63.84605,-145.21706,4.677
65.26479,-146.11841,5.283
65.5222,-147.999,5.813
65.49771,-145.08161,6.038
63.571,-147.84773,6.679
62.92935,-147.90014,6.516
65.33979,-145.86618,5.581
63.21905,-144.9681,8.846
64.09531,-147.72012,7.222
63.15439,-145.0182,7.528
63.15123,-147.06461,6.407
63.16763,-144.7419,8.279
64.85641,-147.20119,6.026
65.11176,-145.96641,5.483
64.54725,-148.46915,6.018
64.05384,-144.96899,4.652
64.8469,-146.97055,6.241
64.88207,-146.68632,5.883
65.03259,-147.07863,6.266
65.19642,-145.32092,5.165
63.94181,-145.04749,4.439
64.14253,-145.6727,4.825
62.87603,-146.86522,4.655
64.26459,-146.54912,5.315
65.02275,-147.30579,6.82
63.35886,-145.01787,10.285
63.69116,-147.39067,8.983
63.18881,-144.81498,8.271
64.79977,-147.5982,5.568
63.81736,-146.19588,5.044
65.22892,-148.05909,7.609
63.4951,-144.69865,7.752
65.13546,-146.84551,5.984
63.43506,-146.79465,8.317
62.85083,-148.27087,5.694
65.54438,-146.68147,6.521
64.7121,-145.08501,5.624
65.39842,-145.51703,5.314
64.66659,-147.78307,5.582
63.36144,-146.20902,9.782
62.90129,-144.93266,5.774
63.09261,-145.84217,7.07
64.83039,-147.52371,5.712
65.42653,-148.54051,5.511
63.09402,-148.15842,6.576
63.71568,-146.93605,7.184
63.43349,-144.6624,8.464
63.15005,-147.75352,6.11
63.40411,-147.30587,5.912
65.54904,-145.39805,5.363
