lat,lon,prec_idf_in
64.22838,-144.88283,2.745
65.38499,-147.1732,3.24
64.03572,-147.23177,3.026
63.0264,-145.18753,3.442
63.36603,-147.69194,2.495
64.86224,-146.10659,3.15
62.77942,-147.73412,3.354
64.43882,-147.89695,2.881
65.22958,-145.70516,2.962
62.96174,-148.63803,4.445
62.81455,-146.82605,2.719
63.09599,-148.78702,4.461
63.85189,-144.81025,2.79
64.51035,-147.78857,2.848
64.1257,-146.1165,2.638
64.12763,-147.86259,3.329
62.82426,-145.3255,2.858
64.65373,-148.05261,2.717
64.39338,-145.95556,2.844
65.03083,-144.94144,3.161
63.10026,-147.95944,3.156
64.36772,-146.69777,2.968
63.63464,-147.58945,3.821
65.41934,-148.52916,2.87
63.27725,-146.43685,4.012
63.32261,-144.8107,4.44
63.84605,-145.21706,2.629
65.26479,-146.11841,2.826
65.5222,-147.999,2.903
65.49771,-145.08161,2.975
63.571,-147.84773,3.332
62.92935,-147.90014,3.46
65.33979,-145.86618,2.984
63.21905,-144.9681,4.407
64.09531,-147.72012,3.367
63.15439,-145.0182,3.825
63.15123,-147.06461,3.295
63.16763,-144.7419,4.111
64.85641,-147.20119,2.872
65.11176,-145.96641,2.941
64.54725,-148.46915,2.83
64.05384,-144.96899,2.628
64.8469,-146.97055,2.985
64.88207,-146.68632,2.944
65.03259,-147.07863,3.076
65.19642,-145.32092,2.835
63.94181,-145.04749,2.521
64.14253,-145.6727,2.663
62.87603,-146.86522,2.635
64.26459,-146.54912,2.74
65.02275,-147.30579,3.233
63.35886,-145.01787,5.086
63.69116,-147.39067,4.379
63.18881,-144.81498,4.147
64.79977,-147.5982,2.761
63.81736,-146.19588,2.763
65.22892,-148.05909,3.586
63.4951,-144.69865,4.114
65.13546,-146.84551,3.206
63.43506,-146.79465,4.292
62.85083,-148.27087,3.108
65.54438,-146.68147,3.343
64.7121,-145.08501,3.032
65.39842,-145.51703,2.815
64.66659,-147.78307,2.755
63.36144,-146.20902,5.2
62.90129,-144.93266,3.07
63.09261,-145.84217,3.697
64.83039,-147.52371,2.794
65.42653,-148.54051,2.73
63.09402,-148.15842,3.419
63.71568,-146.93605,3.751
63.43349,-144.6624,4.389
63.15005,-147.75352,3.018
63.40411,-147.30587,2.959
65.54904,-145.39805,2.754
64.62543,-144.63476,3.197
64.07175,-146.39126,2.701
63.29124,-147.77026,2.45
