lat,lon,prec_idf_in
64.22838,-144.88283,2.412
65.38499,-147.1732,2.71
64.03572,-147.23177,2.615
63.0264,-145.18753,3.274
63.36603,-147.69194,2.361
64.86224,-146.10659,2.71
62.77942,-147.73412,3.012
64.43882,-147.89695,2.144
65.22958,-145.70516,2.65
62.96174,-148.63803,3.919
62.81455,-146.82605,2.301
63.09599,-148.78702,3.91
63.85189,-144.81025,2.376
64.51035,-147.78857,2.107
64.1257,-146.1165,2.258
64.12763,-147.86259,2.66
62.82426,-145.3255,2.586
64.65373,-148.05261,1.973
64.39338,-145.95556,2.453
65.03083,-144.94144,2.774
63.10026,-147.95944,2.863
64.36772,-146.69777,2.449
63.63464,-147.58945,3.581
65.41934,-148.52916,2.309
63.27725,-146.43685,3.669
63.32261,-144.8107,4.379
63.84605,-145.21706,2.3
65.26479,-146.11841,2.504
65.5222,-147.999,2.36
65.49771,-145.08161,2.469
63.571,-147.84773,3.015
62.92935,-147.90014,3.107
65.33979,-145.86618,2.649
63.21905,-144.9681,4.399
64.09531,-147.72012,2.779
63.15439,-145.0182,3.718
63.15123,-147.06461,3.046
63.16763,-144.7419,4.195
64.85641,-147.20119,2.209
65.11176,-145.96641,2.669
64.54725,-148.46915,2.061
64.05384,-144.96899,2.28
64.8469,-146.97055,2.397
64.88207,-146.68632,2.362
65.03259,-147.07863,2.519
65.19642,-145.32092,2.433
63.94181,-145.04749,2.209
64.14253,-145.6727,2.306
62.87603,-146.86522,2.205
64.26459,-146.54912,2.294
65.02275,-147.30579,2.866
63.35886,-145.01787,5.095
63.69116,-147.39067,4.161
63.18881,-144.81498,4.15
64.79977,-147.5982,1.947
63.81736,-146.19588,2.431
65.22892,-148.05909,3.038
63.4951,-144.69865,3.931
65.13546,-146.84551,2.593
63.43506,-146.79465,4.03
62.85083,-148.27087,2.631
65.54438,-146.68147,2.895
64.7121,-145.08501,2.725
65.39842,-145.51703,2.375
64.66659,-147.78307,1.991
63.36144,-146.20902,4.751
62.90129,-144.93266,2.891
63.09261,-145.84217,3.467
64.83039,-147.52371,2.007
65.42653,-148.54051,2.174
63.09402,-148.15842,3.033
63.71568,-146.93605,3.449
63.43349,-144.6624,4.301
63.15005,-147.75352,2.906
63.40411,-147.30587,2.789
65.54904,-145.39805,2.23
64.62543,-144.63476,2.962
64.07175,-146.39126,2.31
63.29124,-147.77026,2.273
63.58393,-146.14846,4.812
63.5742,-148.55511,3.103
63.93519,-145.5708,2.284
64.77946,-147.78469,1.887
64.99489,-147.143,2.645
64.14543,-148.67452,2.602
63.76363,-146.16719,2.438
65.48577,-145.88724,2.679
63.4918,-145.58508,6.298
64.267,-144.77289,2.496
63.44693,-145.52411,5.666
62.96356,-145.71376,2.671
65.03814,-145.30932,2.387
64.43875,-145.78439,2.713
64.46335,-148.58202,2.158
63.69502,-146.1179,2.935
64.78172,-146.1808,2.546
62.92032,-144.59859,2.987
62.81965,-148.41019,2.778
64.61687,-146.41813,2.529
64.50374,-148.40287,2.096
63.22467,-144.68138,4.792
62.85312,-145.81426,2.568
65.13705,-146.9932,2.67
62.81892,-145.67837,2.266
63.90706,-146.2054,2.318
64.82636,-145.03279,2.701
64.05614,-146.48617,2.339
65.17523,-148.3678,2.284
64.72219,-148.32591,2.253
64.45605,-144.70579,2.539
65.36378,-147.48325,2.663
63.49631,-145.98139,4.855
63.60255,-145.66741,4.343
63.20672,-145.42796,4.166
62.76462,-147.71332,2.742
64.97459,-145.00462,2.899
63.20675,-144.74822,4.609
64.39806,-146.43409,2.504
65.03432,-147.90589,2.018
65.58441,-146.44838,2.953
62.79417,-146.57128,2.27
64.36398,-146.40874,2.555
62.90565,-145.36569,2.337
64.95915,-145.578,1.984
65.27157,-145.93519,2.523
63.92199,-147.49014,2.989
65.33277,-148.31901,1.939
63.97699,-144.56439,2.413
63.41735,-145.25568,5.543
64.48036,-148.0072,2.128
63.57528,-147.76051,3.128
65.03034,-145.53697,2.247
63.04893,-146.14658,2.919
64.86733,-147.65184,2.009
63.15255,-144.72207,4.123
65.37189,-145.50255,2.469
65.08598,-146.91672,2.482
64.88755,-145.73748,2.653
63.60574,-146.47917,5.128
63.96554,-148.28586,2.865
65.19934,-148.42995,1.894
62.7166,-145.96953,2.13
64.99452,-146.29943,2.548
65.05674,-146.29458,2.75
63.68064,-148.47729,2.628
65.08628,-147.18346,2.691
63.39047,-146.36394,5.109
64.982,-145.0151,2.891
63.24552,-147.24309,3.129
63.04081,-147.4836,2.278
64.36496,-148.74455,2.287
62.69634,-148.11981,3.634
63.43177,-148.11244,2.753
63.23189,-145.59825,3.628
63.87162,-147.88731,2.612
63.49226,-144.78598,3.64
64.91,-148.54228,2.857
63.81665,-146.86999,2.926
63.72201,-147.31824,4.021
64.20047,-147.04636,2.396
63.77403,-145.37242,3.34
64.15639,-146.2302,2.272
63.59441,-145.24306,4.42
65.23972,-147.22089,2.68
63.91094,-146.304,2.34
65.11881,-145.66455,2.856
63.63243,-148.57069,2.752
63.22936,-144.77802,4.75
65.3545,-147.51798,2.681
63.25689,-145.76876,3.4
63.46552,-146.9068,4.074
64.38889,-147.63143,2.253
65.06573,-144.56259,3.049
65.5031,-147.99384,2.389
63.38303,-146.35364,5.095
64.85075,-148.08655,2.295
64.4345,-147.31759,2.291
64.02029,-144.55356,2.443
64.78262,-147.01933,2.282
63.62831,-148.11839,2.868
64.45769,-148.30892,2.13
63.74207,-147.39385,3.771
64.72055,-146.83185,2.428
64.01168,-144.70352,2.364
64.88791,-145.61886,2.649
64.66791,-147.32873,2.021
63.64222,-148.60873,2.644
64.75344,-147.50451,1.968
62.74557,-147.20815,2.14
64.69822,-148.33762,2.069
62.82724,-146.16346,2.296
64.09013,-146.32366,2.312
64.7317,-146.56141,2.542
63.14881,-146.30579,3.748
64.55161,-146.39495,2.386
63.39798,-146.74271,4.338
65.32247,-147.71364,2.742
63.16177,-146.91869,3.125
63.30122,-147.80774,2.293
64.43848,-145.24345,2.47
63.34974,-145.27878,5.275
65.29243,-145.89335,2.511
65.08403,-144.85002,2.82
63.22773,-145.91159,3.428
63.97065,-147.86767,2.729
63.81825,-147.5274,3.343
63.58282,-146.07774,4.391
64.53318,-144.60135,2.693
64.43999,-148.11424,2.159
63.283,-148.61833,3.224
64.1508,-144.86957,2.446
63.05162,-145.46967,2.68
63.92544,-147.33064,2.822
62.7213,-146.78889,2.226
65.49795,-146.58699,2.971
64.42883,-145.62919,2.575
62.93901,-146.13356,2.493
65.14075,-147.70351,2.508
64.89554,-147.28383,2.301
65.26568,-148.26338,2.049
64.56768,-144.74267,3.093
63.74928,-146.7044,3.277
63.26236,-146.41629,3.582
64.56813,-147.46775,2.115
63.58052,-145.93632,3.043
64.13503,-147.54183,2.538
64.7218,-145.59551,2.843
64.16128,-144.90712,2.404
63.831,-144.85106,2.367
65.09462,-147.60877,2.342
65.3863,-145.64428,2.476
63.37943,-148.36278,2.633
63.74056,-146.99477,3.016
65.26034,-148.13233,2.334
63.93682,-147.25316,2.648
63.62708,-146.6249,4.905
65.08441,-146.57625,2.8
63.86049,-148.79259,2.711
64.93927,-147.34947,2.511
63.62446,-148.34737,2.932
63.73935,-147.10966,3.32
65.45483,-144.85112,2.51
