lat,lon,prec_idf_in
64.22838,-144.88283,3.951
65.38499,-147.1732,5.369
64.03572,-147.23177,4.757
63.0264,-145.18753,5.267
63.36603,-147.69194,3.622
64.86224,-146.10659,4.93
62.77942,-147.73412,4.889
64.43882,-147.89695,5.007
65.22958,-145.70516,4.549
62.96174,-148.63803,6.965
62.81455,-146.82605,3.995
63.09599,-148.78702,7.057
63.85189,-144.81025,4.046
64.51035,-147.78857,4.944
64.1257,-146.1165,3.82
64.12763,-147.86259,5.676
62.82426,-145.3255,4.334
64.65373,-148.05261,4.702
64.39338,-145.95556,4.268
65.03083,-144.94144,4.867
63.10026,-147.95944,4.761
64.36772,-146.69777,4.781
63.63464,-147.58945,5.812
65.41934,-148.52916,4.707
63.27725,-146.43685,5.95
63.32261,-144.8107,6.651
63.84605,-145.21706,3.793
65.26479,-146.11841,4.421
65.5222,-147.999,4.802
65.49771,-145.08161,4.769
63.571,-147.84773,5.135
62.92935,-147.90014,5.189
65.33979,-145.86618,4.624
63.21905,-144.9681,6.615
64.09531,-147.72012,5.625
63.15439,-145.0182,5.769
63.15123,-147.06461,4.912
63.16763,-144.7419,6.18
64.85641,-147.20119,5.022
65.11176,-145.96641,4.495
64.54725,-148.46915,4.987
64.05384,-144.96899,3.798
64.8469,-146.97055,5.196
64.88207,-146.68632,4.969
65.03259,-147.07863,5.245
65.19642,-145.32092,4.365
63.94181,-145.04749,3.646
64.14253,-145.6727,3.862
62.87603,-146.86522,3.873
64.26459,-146.54912,4.148
65.02275,-147.30579,5.521
63.35886,-145.01787,7.599
63.69116,-147.39067,6.671
63.18881,-144.81498,6.236
64.79977,-147.5982,4.911
63.81736,-146.19588,3.996
65.22892,-148.05909,6.086
63.4951,-144.69865,6.03
65.13546,-146.84551,5.149
63.43506,-146.79465,6.304
62.85083,-148.27087,4.764
65.54438,-146.68147,5.407
64.7121,-145.08501,4.564
65.39842,-145.51703,4.392
64.66659,-147.78307,4.739
63.36144,-146.20902,7.684
62.90129,-144.93266,4.612
63.09261,-145.84217,5.633
64.83039,-147.52371,4.993
65.42653,-148.54051,4.484
63.09402,-148.15842,5.255
63.71568,-146.93605,5.437
63.43349,-144.6624,6.478
63.15005,-147.75352,4.45
63.40411,-147.30587,4.36
65.54904,-145.39805,4.382
64.62543,-144.63476,4.754
64.07175,-146.39126,3.956
63.29124,-147.77026,3.55
63.58393,-146.14846,7.724
63.5742,-148.55511,6.004
63.93519,-145.5708,3.824
64.77946,-147.78469,4.576
64.99489,-147.143,5.411
64.14543,-148.67452,5.829
63.76363,-146.16719,4.01
65.48577,-145.88724,4.865
63.4918,-145.58508,10.073
64.267,-144.77289,4.04
63.44693,-145.52411,8.936
62.96356,-145.71376,4.554
65.03814,-145.30932,4.107
64.43875,-145.78439,4.572
64.46335,-148.58202,5.302
63.69502,-146.1179,4.86
64.78172,-146.1808,4.755
62.92032,-144.59859,4.688
62.81965,-148.41019,5.104
64.61687,-146.41813,4.975
64.50374,-148.40287,5.097
63.22467,-144.68138,7.069
62.85312,-145.81426,4.362
65.13705,-146.9932,5.367
62.81892,-145.67837,3.977
63.90706,-146.2054,3.882
64.82636,-145.03279,4.555
64.05614,-146.48617,4.032
65.17523,-148.3678,4.827
64.72219,-148.32591,5.417
64.45605,-144.70579,4.131
65.36378,-147.48325,5.425
63.49631,-145.98139,7.957
63.60255,-145.66741,7.044
63.20672,-145.42796,6.193
62.76462,-147.71332,4.541
64.97459,-145.00462,4.949
63.20675,-144.74822,6.739
64.39806,-146.43409,4.533
65.03432,-147.90589,4.583
65.58441,-146.44838,5.306
62.79417,-146.57128,4.036
64.36398,-146.40874,4.489
62.90565,-145.36569,4.099
64.95915,-145.578,3.302
65.27157,-145.93519,4.46
63.92199,-147.49014,5.266
65.33277,-148.31901,4.129
63.97699,-144.56439,4.21
63.41735,-145.25568,8.282
64.48036,-148.0072,4.991
63.57528,-147.76051,5.219
65.03034,-145.53697,3.817
63.04893,-146.14658,4.895
64.86733,-147.65184,4.833
63.15255,-144.72207,6.064
65.37189,-145.50255,4.496
65.08598,-146.91672,4.99
64.88755,-145.73748,4.405
63.60574,-146.47917,7.973
63.96554,-148.28586,5.736
65.19934,-148.42995,4.142
62.7166,-145.96953,3.713
64.99452,-146.29943,4.767
65.05674,-146.29458,4.89
63.68064,-148.47729,5.084
65.08628,-147.18346,5.445
63.39047,-146.36394,8.128
64.982,-145.0151,4.951
63.24552,-147.24309,4.725
63.04081,-147.4836,3.933
64.36496,-148.74455,5.709
62.69634,-148.11981,5.962
63.43177,-148.11244,4.843
63.23189,-145.59825,5.64
63.87162,-147.88731,5.066
63.49226,-144.78598,5.696
64.91,-148.54228,5.829
63.81665,-146.86999,4.859
63.72201,-147.31824,6.532
64.20047,-147.04636,4.62
63.77403,-145.37242,5.334
64.15639,-146.2302,3.898
63.59441,-145.24306,6.896
65.23972,-147.22089,5.188
63.91094,-146.304,3.908
65.11881,-145.66455,4.606
63.63243,-148.57069,5.283
63.22936,-144.77802,7.085
65.3545,-147.51798,5.466
63.25689,-145.76876,5.526
63.46552,-146.9068,6.266
64.38889,-147.63143,5.163
65.06573,-144.56259,5.27
65.5031,-147.99384,4.853
63.38303,-146.35364,8.113
64.85075,-148.08655,5.108
64.4345,-147.31759,5.096
64.02029,-144.55356,4.181
64.78262,-147.01933,5.107
63.62831,-148.11839,5.311
64.45769,-148.30892,5.157
63.74207,-147.39385,6.205
64.72055,-146.83185,5.382
64.01168,-144.70352,4.027
64.88791,-145.61886,4.216
64.66791,-147.32873,4.738
63.64222,-148.60873,5.098
64.75344,-147.50451,4.706
62.74557,-147.20815,3.745
64.69822,-148.33762,5.03
62.82724,-146.16346,3.989
64.09013,-146.32366,3.947
64.7317,-146.56141,5.129
63.14881,-146.30579,6.036
64.55161,-146.39495,4.737
63.39798,-146.74271,6.75
65.32247,-147.71364,5.611
63.16177,-146.91869,5.084
63.30122,-147.80774,3.612
64.43848,-145.24345,4.074
63.34974,-145.27878,7.668
65.29243,-145.89335,4.452
65.08403,-144.85002,4.948
63.22773,-145.91159,5.634
63.97065,-147.86767,5.494
63.81825,-147.5274,5.706
63.58282,-146.07774,7.111
64.53318,-144.60135,4.34
64.43999,-148.11424,5.162
